family	paralog_name	paralog_type	classification	mean_TPM	median_TPM	max_TPM	tissues_detected	samples_detected	pct_samples	pearson_r_vs_parent	pearson_pvalue	tissue_specificity
Utp18	Utp18-dl1	dl	parent correlated	134.6172	109.4074	247.9867	6	29	100.0000	0.9444	0.0046	0.0302
Utp18	Utp18-dl2	dl	parent correlated	148.9377	120.4206	296.9408	6	29	100.0000	0.9150	0.0105	0.0401
Utp23	Utp23-dl1	dl	parent correlated	52.6437	47.8864	159.8239	6	28	96.5517	0.8530	0.0308	0.0406
Utp23	Utp23-dl2	dl	parent correlated	56.6153	48.9622	132.5852	6	29	100.0000	0.8346	0.0388	0.0532
Utp23	Utp23-dl3	dl	parent correlated	805.5840	140.2927	4139.8849	6	29	100.0000	0.8116	0.0499	0.3885
Utp23	Utp23-l1	l	supported	16.1912	9.2197	93.2704	6	26	89.6552	0.1534	0.7718	0.2164
Vamp3	Vamp3-dl1	dl	parent correlated	275.9086	203.1284	635.8618	6	29	100.0000	0.9960	0.0000	0.0891
Vamp3	Vamp3-l1	l	parent correlated	33.4342	25.0168	104.0524	6	29	100.0000	0.9755	0.0009	0.1007
Vamp7	Vamp7-l1	l	supported	0.5233	0.5194	1.4293	6	27	93.1034	0.5795	0.2281	0.0476
Vapb	Vapb-dl1	dl	supported	146.5618	138.5680	281.7109	6	29	100.0000	0.5768	0.2308	0.0436
Vash2	Vash2-l1	l	parent correlated	3.8209	1.4659	20.1295	6	19	65.5172	0.9412	0.0051	0.2264
Vcl	Vcl-dl1	dl	supported	1.3128	0.6583	5.2280	6	27	93.1034	0.1136	0.8303	0.2744
Vdac2	Vdac2-dl1	dl	parent correlated	10.3232	7.1487	32.9803	6	24	82.7586	0.8966	0.0155	0.1378
Vdac2	Vdac2-dl2	dl	parent correlated	2271.4665	1775.4827	5701.8008	6	29	100.0000	0.9079	0.0123	0.0954
Vegp1	Vegp1-l1	l	low expression	0.1079	0.0000	1.4415	3	5	17.2414	0.1998	0.7043	0.4649
Vmn2r116	Vmn2r116-l1	l	supported	1.1833	1.1383	2.3647	6	29	100.0000	0.7873	0.0630	0.0373
Vmn2r116	Vmn2r116-l2	l	low expression	0.0169	0.0000	0.1534	2	4	13.7931	0.1555	0.7687	0.7698
Vmn2r116	Vmn2r116-l3	l	supported	6.0968	4.9689	13.8784	6	29	100.0000	0.7550	0.0827	0.0399
Vmn2r116	Vmn2r116-l4	l	low expression	0.1883	0.1545	0.5998	6	22	75.8621	-0.8746	0.0226	0.0977
Vmn2r116	Vmn2r116-l5	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Vmn2r116	Vmn2r116-l6	l	low expression	0.0358	0.0249	0.2376	6	17	58.6207	0.6902	0.1291	0.1151
Vmn2r116	Vmn2r116-l7	l	low expression	0.0162	0.0000	0.2688	1	2	6.8966	0.3260	0.5283	1.0000
Vmn2r116	Vmn2r116-l8	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Vmn2r116	Vmn2r116-l9	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Vn1r1	Vn1r1-l1	l	low expression	0.1249	0.0000	1.8635	2	2	6.8966			0.6214
Vn1r1	Vn1r1-l2	l	low expression	0.0161	0.0000	0.4656	1	1	3.4483			1.0000
Vn1r1	Vn1r1-l3	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Vn1r4	Vn1r4-l1	l	low expression	0.1845	0.0000	2.7972	2	2	6.8966			0.6200
Vn1r4	Vn1r4-l2	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Vn1r4	Vn1r4-l3	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Vn1r4	Vn1r4-l4	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Vn1r4	Vn1r4-l5	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Vps28	Vps28-dl1	dl	parent correlated	2108.3404	1747.5973	4684.0860	6	29	100.0000	0.9478	0.0040	0.0547
Vps29	Vps29-l1	l	supported	64.6036	62.7798	123.4611	6	28	96.5517	0.5971	0.2108	0.0279
Vps37a	Vps37a-dl1	dl	supported	215.2984	203.8962	324.6120	6	29	100.0000	0.4370	0.3862	0.0146
Vps37b	Vps37b-dl1	dl	parent correlated	73.9119	65.7272	201.7687	6	29	100.0000	0.9126	0.0111	0.1229
Vps45	Vps45-dl1	dl	parent correlated	37.0894	28.1106	96.5332	6	29	100.0000	0.8461	0.0337	0.0963
Vps72	Vps72-l1	l	supported	124.7252	117.0950	226.0025	6	29	100.0000	0.6513	0.1612	0.0156
Vtcn1	Vtcn1-l1	l	supported	2.5461	1.5848	11.6105	6	28	96.5517	0.3479	0.4991	0.1451
Wbp11	Wbp11-l1	l	parent correlated	69.2673	71.7812	123.8081	6	29	100.0000	0.8721	0.0235	0.0359
Wbp4	Wbp4-dl1	dl	supported	362.7246	371.9770	479.2665	6	29	100.0000	0.2604	0.6182	0.0079
Wdhd1	Wdhd1-l1	l	parent correlated	16.3346	9.7454	86.4177	6	29	100.0000	0.9814	0.0005	0.2234
Wdr87	Wdr87-l1	l	low expression	0.1529	0.0584	1.0853	6	16	55.1724	0.5785	0.2290	0.0639
Wtap	Wtap-l1	l	supported	127.9304	112.2402	240.2166	6	29	100.0000	0.7893	0.0619	0.0361
Xrcc4	Xrcc4-l1	l	supported	51.4443	47.8684	81.5149	6	29	100.0000	0.6416	0.1697	0.0059
Yeats4	Yeats4-dl1	dl	supported	326.4824	345.5388	504.9329	6	29	100.0000	0.1065	0.8408	0.0145
Yipf5	Yipf5-dl1	dl	parent correlated	124.8851	113.2930	211.8245	6	29	100.0000	0.9858	0.0003	0.0317
Ythdf1	Ythdf1-dl1	dl	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Ywhah	Ywhah-dl1	dl	parent correlated	2030.3094	908.7455	9818.7503	6	29	100.0000	0.9960	0.0000	0.4097
Ywhah	Ywhah-dl2	dl	low expression	4.3816	0.0000	31.9684	6	13	44.8276	0.7736	0.0711	0.6864
Ywhah	Ywhah-dl3	dl	parent correlated	10.1423	3.6489	48.3863	6	25	86.2069	0.9717	0.0012	0.4081
Ywhaq	Ywhaq-dl1	dl	parent correlated	481.3519	346.2550	1136.0261	6	29	100.0000	0.9428	0.0048	0.0895
Zbtb44	Zbtb44-l1	l	supported	2.2426	0.7367	12.4517	6	17	58.6207	-0.4716	0.3451	0.2875
Zc3h11a	Zc3h11a-l1	l	low expression	0.1452	0.0000	1.8038	3	5	17.2414	0.1425	0.7876	0.4765
Zcchc8	Zcchc8-l1	l	parent correlated	53.4547	54.1052	91.8774	6	29	100.0000	0.9299	0.0072	0.0147
Zcrb1	Zcrb1-dl1	dl	supported	58.0813	54.3240	102.4511	6	29	100.0000	0.1384	0.7937	0.0180
Zfp36l2	Zfp36l2-dl1	dl	supported	307.7391	202.2622	1668.3946	6	29	100.0000	0.1897	0.7188	0.1899
Zkscan4	Zkscan4-l1	l	parent correlated	65.2031	52.1277	162.6492	6	29	100.0000	0.9442	0.0046	0.1408
Znf14	Znf14-l1	l	parent correlated	76.1158	71.4504	134.6312	6	29	100.0000	0.9026	0.0138	0.0454
Znf2	Znf2-l1	l	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Znf410	Znf410-l1	l	parent correlated	173.1746	159.3450	268.5462	6	29	100.0000	0.9842	0.0004	0.0190
Znf426	Znf426-l1	l	supported	26.3618	18.0384	52.3851	6	29	100.0000	0.7730	0.0714	0.0795
Znf426	Znf426-l2	l	parent correlated	15.4036	7.5413	39.7808	6	29	100.0000	0.8346	0.0388	0.1578
Znf655	Znf655-l1	l	parent correlated	74.0006	68.8451	127.6039	6	29	100.0000	0.9628	0.0021	0.0348
Znf691	Znf691-l1	l	parent correlated	15.3375	15.4368	36.8751	6	28	96.5517	0.8474	0.0332	0.0297
Znf699	Znf699-l1	l	parent correlated	2.1524	2.0148	5.6653	6	29	100.0000	0.8056	0.0530	0.1302
Znf709	Znf709-l1	l	supported	47.6640	33.3858	121.3404	6	29	100.0000	-0.2870	0.5814	0.0910
Znf709	Znf709-l10	l	supported	70.5817	54.9759	161.6299	6	29	100.0000	-0.6240	0.1855	0.1331
Znf709	Znf709-l11	l	supported	36.6942	21.5652	78.5140	6	29	100.0000	-0.5648	0.2429	0.1343
Znf709	Znf709-l12	l	supported	87.6826	79.8355	182.9840	6	29	100.0000	-0.6886	0.1304	0.0475
Znf709	Znf709-l13	l	supported	35.9254	23.0121	72.9672	6	29	100.0000	-0.4846	0.3300	0.0800
Znf709	Znf709-l2	l	supported	21.1682	22.8379	36.1643	6	29	100.0000	0.5807	0.2268	0.0241
Znf709	Znf709-l3	l	supported	36.2331	21.5943	87.4912	6	29	100.0000	-0.5658	0.2418	0.1288
Znf709	Znf709-l4	l	supported	33.3135	20.6950	77.0567	6	29	100.0000	-0.3642	0.4778	0.0828
Znf709	Znf709-l5	l	supported	22.8963	15.6817	53.0090	6	29	100.0000	-0.3932	0.4406	0.0695
Znf709	Znf709-l6	l	supported	36.5974	23.8407	101.5920	6	29	100.0000	-0.3854	0.4505	0.0813
Znf709	Znf709-l7	l	supported	28.2615	23.1365	62.4414	6	29	100.0000	-0.2387	0.6488	0.0432
Znf709	Znf709-l8	l	supported	149.3122	116.1223	303.5414	6	29	100.0000	-0.6246	0.1850	0.0762
Znf709	Znf709-l9	l	supported	55.7342	44.5963	195.9324	6	29	100.0000	-0.5843	0.2233	0.0848
