family	gene_name	gene_id	gene_type	chrom	start	end	strand	length	paralog_type	copy_num
Acp1	Acp1	gene-Acp1	parent	chr17	26341802	26357161	+	15360		
Acp1	Acp1-l1	gene-Acp1-l1	paralog_l	chr14	66279254	66281260	-	2007	l	1.0
Acsbg2	Acsbg2	gene-Acsbg2	parent	chr3	119738315	119766496	-	28182		
Acsbg2	Acsbg2-l1	gene-Acsbg2-l1	paralog_l	chr3	119719597	119732711	-	13115	l	1.0
Actb	Actb	gene-Actb	parent	chr6	25798714	25802140	+	3427		
Actb	Actb-l1	gene-Actb-l1	paralog_l	chr6	62932333	62936020	+	3688	l	1.0
Actb	Actb-dl1	gene-Actb-dl1	paralog_dl	chr12	90497666	90500476	-	2811	dl	1.0
Adam1a	Adam1a	gene-Adam1a	parent	chr20	9103081	9106994	+	3914		
Adam1a	Adam1a-l1	gene-Adam1a-l1	paralog_l	chr20	9144172	9145497	+	1326	l	1.0
Adam20	Adam20	gene-Adam20	parent	chr27	5207533	5209808	+	2276		
Adam20	Adam20-l3	gene-Adam20-l3	paralog_l	chr5	36569728	36574034	+	4307	l	3.0
Adam20	Adam20-l1	gene-Adam20-l1	paralog_l	chr27	5279073	5283205	-	4133	l	1.0
Adam20	Adam20-l2	gene-Adam20-l2	paralog_l	chr27	18960550	18964234	-	3685	l	2.0
Adh5	Adh5	gene-Adh5	parent	chr1	122510170	122527123	-	16954		
Adh5	Adh5-l1	gene-Adh5-l1	paralog_l	chr13	80484224	80485667	+	1444	l	1.0
Adh7	Adh7	gene-Adh7	parent	chr1	106243371	106259779	+	16409		
Adh7	Adh7-l1	gene-Adh7-l1	paralog_l	chr1	106560351	106587047	-	26697	l	1.0
Adrm1	Adrm1	gene-Adrm1	parent	chr20	90230279	90235786	+	5508		
Adrm1	Adrm1-dl1	gene-Adrm1-dl1	paralog_dl	chr4	26343268	26344630	-	1363	dl	1.0
Aff1	Aff1	gene-Aff1	parent	chr6	94248723	94257331	+	8609		
Aff1	Aff1-l1	gene-Aff1-l1	paralog_l	chr10	80738899	80795903	+	57005	l	1.0
Ahsa1	Ahsa1	gene-Ahsa1	parent	chr27	24101331	24111393	+	10063		
Ahsa1	Ahsa1-dl1	gene-Ahsa1-dl1	paralog_dl	chr3	118975929	118976945	-	1017	dl	1.0
Aif1l	Aif1l	gene-Aif1l	parent	chr14	109707009	109726628	+	19620		
Aif1l	Aif1l-dl1	gene-Aif1l-dl1	paralog_dl	chr18	3799287	3799739	-	453	dl	1.0
Ak6	Ak6	gene-Ak6	parent	chr10	109980195	109998965	-	18771		
Ak6	Ak6-l1	gene-Ak6-l1	paralog_l	chrX	52774696	52775465	+	770	l	1.0
Akirin1	Akirin1	gene-Akirin1	parent	chr19	30810508	30828275	+	17768		
Akirin1	Akirin1-dl1	gene-Akirin1-dl1	paralog_dl	chr22	55302561	55304847	-	2287	dl	1.0
Akr1a1	Akr1a1	gene-Akr1a1	parent	chr19	48469875	48488766	+	18892		
Akr1a1	Akr1a1-dl1	gene-Akr1a1-dl1	paralog_dl	chrX	161272225	161273202	-	978	dl	1.0
Akr1b1	Akr1b1	gene-Akr1b1	parent	chr17	63454971	63471293	-	16323		
Akr1b1	Akr1b1-dl1	gene-Akr1b1-dl1	paralog_dl	chr17	30571902	30573211	+	1310	dl	1.0
Akr1b1	Akr1b1-dl2	gene-Akr1b1-dl2	paralog_dl	chr20	63946037	63947356	+	1320	dl	2.0
Akr1b1	Akr1b1-dl3	gene-Akr1b1-dl3	paralog_dl	chr27	28975775	28977083	+	1309	dl	3.0
Akr1b8	Akr1b8	gene-Akr1b8	parent	chr22	59846682	59861918	-	15237		
Akr1b8	Akr1b8-dl3	gene-Akr1b8-dl3	paralog_dl	chrX	161332268	161333218	-	951	dl	3.0
Akr1b8	Akr1b8-dl1	gene-Akr1b8-dl1	paralog_dl	chr10	11117247	11118197	-	951	dl	1.0
Akr1b8	Akr1b8-dl2	gene-Akr1b8-dl2	paralog_dl	chr18	37880659	37881609	+	951	dl	2.0
Akr1b8	Akr1b8-rl1	gene-Akr1b8-rl1	paralog_rl	chr22	59913019	59964069	+	51051	rl	1.0
Aldh1a1	Aldh1a1	gene-Aldh1a1	parent	chr9	101161217	101414472	+	253256		
Aldh1a1	Aldh1a1-l1	gene-Aldh1a1-l1	paralog_l	chr9	101468452	101504679	-	36228	l	1.0
Alox12e	Alox12e	gene-Alox12e	parent	chr7	37697761	37702859	+	5099		
Alox12e	Alox12e-l1	gene-Alox12e-l1	paralog_l	chr7	37790175	37897619	+	107445	l	1.0
Alpi	Alpi	gene-Alpi	parent	chr1	59955844	59966287	+	10444		
Alpi	Alpi-l1	gene-Alpi-l1	paralog_l	chr1	59972871	59983292	-	10422	l	1.0
Alyref	Alyref	gene-Alyref	parent	chr18	27467544	27471127	-	3584		
Alyref	Alyref-dl1	gene-Alyref-dl1	paralog_dl	chr16	41106196	41109293	-	3098	dl	1.0
Alyref	Alyref-dl2	gene-Alyref-dl2	paralog_dl	chr19	73449016	73450129	+	1114	dl	2.0
Amd1	Amd1	gene-Amd1	parent	chr15	41527955	41546838	+	18884		
Amd1	Amd1-dl1	gene-Amd1-dl1	paralog_dl	chr16	55093116	55093847	+	732	dl	1.0
Amd1	Amd1-dl2	gene-Amd1-dl2	paralog_dl	chr18	85934253	85935956	+	1704	dl	2.0
Amd1	Amd1-dl3	gene-Amd1-dl3	paralog_dl	chr18	88164275	88167301	+	3027	dl	3.0
Amd1	Amd1-dl4	gene-Amd1-dl4	paralog_dl	chr28	130236	132909	+	2674	dl	4.0
Amy1	Amy1	gene-Amy1	parent	chr21	19926138	19933637	+	7500		
Amy1	Amy1-l1	gene-Amy1-l1	paralog_l	chr21	20016204	20039437	-	23234	l	1.0
Anapc10	Anapc10	gene-Anapc10	parent	chr23	20854336	20935795	-	81460		
Anapc10	Anapc10-l1	gene-Anapc10-l1	paralog_l	chr16	614724	615536	-	813	l	1.0
Anapc16	Anapc16	gene-Anapc16	parent	chr1	22693368	22711924	-	18557		
Anapc16	Anapc16-dl1	gene-Anapc16-dl1	paralog_dl	chr5	111681985	111684113	+	2129	dl	1.0
Angpt4	Angpt4	gene-Angpt4	parent	chr20	55747335	55783572	+	36238		
Angpt4	Angpt4-l1	gene-Angpt4-l1	paralog_l	chr20	55962299	55980673	-	18375	l	1.0
Angpt4	Angpt4-l2	gene-Angpt4-l2	paralog_l	chr20	57967230	57995439	-	28210	l	2.0
Anp32b	Anp32b	gene-Anp32b	parent	chr14	72178790	72205705	+	26916		
Anp32b	Anp32b-l1	gene-Anp32b-l1	paralog_l	chr17	37715899	37717334	-	1436	l	1.0
Antxrl	Antxrl	gene-Antxrl	parent	chr6	4096107	4120100	-	23994		
Antxrl	Antxrl-l1	gene-Antxrl-l1	paralog_l	chr6	4130635	4168179	+	37545	l	1.0
Anxa1	Anxa1	gene-Anxa1	parent	chr12	122497537	122498924	-	1388		
Anxa1	Anxa1-l1	gene-Anxa1-l1	paralog_l	chr9	100927563	100944439	-	16877	l	1.0
Ap1ar	Ap1ar	gene-Ap1ar	parent	chr1	93871417	93909079	-	37663		
Ap1ar	Ap1ar-l1	gene-Ap1ar-l1	paralog_l	chrX	39806928	39808171	+	1244	l	1.0
Ap2b1	Ap2b1	gene-Ap2b1	parent	chr7	20968665	21093761	-	125097		
Ap2b1	Ap2b1-l1	gene-Ap2b1-l1	paralog_l	chrX	55849808	55850950	-	1143	l	1.0
Ap3s1	Ap3s1	gene-Ap3s1	parent	chr11	77844006	77924679	-	80674		
Ap3s1	Ap3s1-l1	gene-Ap3s1-l1	paralog_l	chr21	6915621	6916778	-	1158	l	1.0
Ap3s1	Ap3s1-l2	gene-Ap3s1-l2	paralog_l	chr22	39539607	39540697	-	1091	l	2.0
Apol3	Apol3	gene-Apol3	parent	chr4	34500404	34508474	+	8071		
Apol3	Apol3-l1	gene-Apol3-l1	paralog_l	chr4	34265089	34277150	-	12062	l	1.0
Apol3	Apol3-l2	gene-Apol3-l2	paralog_l	chr4	34280892	34294483	-	13592	l	2.0
Apol3	Apol3-l3	gene-Apol3-l3	paralog_l	chr4	34567849	34588295	+	20447	l	3.0
Apol3	Apol3-l4	gene-Apol3-l4	paralog_l	chr4	34605072	34618824	+	13753	l	4.0
Apol3	Apol3-l5	gene-Apol3-l5	paralog_l	chr4	34630686	34642132	-	11447	l	5.0
Apol3	Apol3-l6	gene-Apol3-l6	paralog_l	chr4	34756366	34758668	-	2303	l	6.0
Apol6	Apol6	gene-Apol6	parent	chr4	33691908	33721679	+	29772		
Apol6	Apol6-l1	gene-Apol6-l1	paralog_l	chr4	33741805	33754155	+	12351	l	1.0
Apool	Apool	gene-Apool	parent	chrX	94410830	94510703	-	99874		
Apool	Apool-l1	gene-Apool-l1	paralog_l	chr6	91305309	91320338	+	15030	l	1.0
Arf4	Arf4	gene-Arf4	parent	chr19	83467171	83479987	+	12817		
Arf4	Arf4-l1	gene-Arf4-l1	paralog_l	chr19	83496187	83503093	+	6907	l	1.0
Arhgdia	Arhgdia	gene-Arhgdia	parent	chr18	27446663	27450130	-	3468		
Arhgdia	Arhgdia-l1	gene-Arhgdia-l1	paralog_l	chr18	54728065	54730653	+	2589	l	1.0
Arl1	Arl1	gene-Arl1	parent	chr2	150582165	150590190	-	8026		
Arl1	Arl1-l1	gene-Arl1-l1	paralog_l	chr9	47077948	47079409	+	1462	l	1.0
Arl2	Arl2	gene-Arl2	parent	chr4	83387210	83392710	-	5501		
Arl2	Arl2-l1	gene-Arl2-l1	paralog_l	chr1	37333284	37334100	+	817	l	1.0
Arl2bp	Arl2bp	gene-Arl2bp	parent	chr1	145044154	145051887	+	7734		
Arl2bp	Arl2bp-l1	gene-Arl2bp-l1	paralog_l	chr16	34814419	34814963	-	545	l	1.0
Armc3	Armc3	gene-Armc3	parent	chr9	66359006	66451815	-	92810		
Armc3	Armc3-l1	gene-Armc3-l1	paralog_l	chr9	76715110	76811260	-	96151	l	1.0
Arpc1a	Arpc1a	gene-Arpc1a	parent	chr6	30650057	30683301	+	33245		
Arpc1a	Arpc1a-dl2	gene-Arpc1a-dl2	paralog_dl	chr3	27189630	27190739	-	1110	dl	2.0
Arpc1a	Arpc1a-dl1	gene-Arpc1a-dl1	paralog_dl	chr27	5198571	5200012	-	1442	dl	1.0
Arpc1b	Arpc1b	gene-Arpc1b	parent	chr6	30689078	30703429	+	14352		
Arpc1b	Arpc1b-dl1	gene-Arpc1b-dl1	paralog_dl	chr2	26723248	26725002	-	1755	dl	1.0
Arpc3	Arpc3	gene-Arpc3	parent	chr20	7936392	7952473	-	16082		
Arpc3	Arpc3-dl1	gene-Arpc3-dl1	paralog_dl	chr5	118185733	118186269	-	537	dl	1.0
Arpc5	Arpc5	gene-Arpc5	parent	chr8	94861987	94872421	+	10435		
Arpc5	Arpc5-dl4	gene-Arpc5-dl4	paralog_dl	chr3	112820584	112822194	-	1611	dl	4.0
Arpc5	Arpc5-dl5	gene-Arpc5-dl5	paralog_dl	chr6	105477178	105477477	+	300	dl	5.0
Arpc5	Arpc5-dl1	gene-Arpc5-dl1	paralog_dl	chr15	44857765	44858220	-	456	dl	1.0
Arpc5	Arpc5-dl2	gene-Arpc5-dl2	paralog_dl	chr15	46997279	46997731	-	453	dl	2.0
Arpc5	Arpc5-dl3	gene-Arpc5-dl3	paralog_dl	chr15	106584261	106584710	-	450	dl	3.0
Arpp19	Arpp19	gene-Arpp19	parent	chr8	2604149	2645084	+	40936		
Arpp19	Arpp19-l1	gene-Arpp19-l1	paralog_l	chr12	94288722	94291316	+	2595	l	1.0
Asns	Asns	gene-Asns	parent	chr5	95314227	95323404	-	9178		
Asns	Asns-l1	gene-Asns-l1	paralog_l	chr5	95358953	95370368	+	11416	l	1.0
Asrgl1	Asrgl1	gene-Asrgl1	parent	chr4	48174297	48184671	+	10375		
Asrgl1	Asrgl1-l1	gene-Asrgl1-l1	paralog_l	chr4	48253550	48267626	-	14077	l	1.0
Ass1	Ass1	gene-Ass1	parent	chr14	109195100	109234320	+	39221		
Ass1	Ass1-dl1	gene-Ass1-dl1	paralog_dl	chr16	18569374	18570841	-	1468	dl	1.0
Ass1	Ass1-dl2	gene-Ass1-dl2	paralog_dl	chr16	82165238	82166476	-	1239	dl	2.0
Ass1	Ass1-dl3	gene-Ass1-dl3	paralog_dl	chr20	43712986	43714482	-	1497	dl	3.0
Atf1	Atf1	gene-Atf1	parent	chr16	49817500	49855682	-	38183		
Atf1	Atf1-l1	gene-Atf1-l1	paralog_l	chr9	64216467	64218673	+	2207	l	1.0
Atg12	Atg12	gene-Atg12	parent	chr11	77924279	77929570	+	5292		
Atg12	Atg12-dl1	gene-Atg12-dl1	paralog_dl	chr2	5051080	5053183	+	2104	dl	1.0
Atg12	Atg12-dl2	gene-Atg12-dl2	paralog_dl	chr2	40693440	40694164	-	725	dl	2.0
Atg4d	Atg4d	gene-Atg4d	parent	chr3	117939798	117947454	+	7657		
Atg4d	Atg4d-l1	gene-Atg4d-l1	paralog_l	chrX	184826321	184828233	-	1913	l	1.0
Atp1b3	Atp1b3	gene-Atp1b3	parent	chr6	79029265	79050459	+	21195		
Atp1b3	Atp1b3-l1	gene-Atp1b3-l1	paralog_l	chr16	96044811	96046601	+	1791	l	1.0
Atp5f1b	Atp5f1b	gene-Atp5f1b	parent	chr16	42238473	42247420	+	8948		
Atp5f1b	Atp5f1b-dl1	gene-Atp5f1b-dl1	paralog_dl	chr14	56526523	56528277	+	1755	dl	1.0
Atp5f1b	Atp5f1b-l1	gene-Atp5f1b-l1	paralog_l	chr15	82650348	82664648	-	14301	l	1.0
Atp5f1c	Atp5f1c	gene-Atp5f1c	parent	chr13	72747640	72768967	+	21328		
Atp5f1c	Atp5f1c-l1	gene-Atp5f1c-l1	paralog_l	chr3	101316074	101335685	+	19612	l	1.0
Atp5f1e	Atp5f1e	gene-Atp5f1e	parent	chr19	27517091	27517450	+	360		
Atp5f1e	Atp5f1e-dl1	gene-Atp5f1e-dl1	paralog_dl	chr20	86246498	86250226	-	3729	dl	1.0
Atp5mc3	Atp5mc3	gene-Atp5mc3	parent	chr9	32541575	32544676	-	3102		
Atp5mc3	Atp5mc3-l1	gene-Atp5mc3-l1	paralog_l	chr24	33190405	33191076	+	672	l	1.0
Atp5me	Atp5me	gene-Atp5me	parent	chr12	61071434	61074862	+	3429		
Atp5me	Atp5me-dl1	gene-Atp5me-dl1	paralog_dl	chr16	1846095	1848787	-	2693	dl	1.0
Atp5me	Atp5me-dl2	gene-Atp5me-dl2	paralog_dl	chr18	18199723	18201528	+	1806	dl	2.0
Atp5mf	Atp5mf	gene-Atp5mf	parent	chr6	30764492	30773230	-	8739		
Atp5mf	Atp5mf-dl4	gene-Atp5mf-dl4	paralog_dl	chr6	119743535	119743798	-	264	dl	4.0
Atp5mf	Atp5mf-dl1	gene-Atp5mf-dl1	paralog_dl	chr17	91005986	91006219	+	234	dl	1.0
Atp5mf	Atp5mf-dl2	gene-Atp5mf-dl2	paralog_dl	chr20	34860770	34862552	-	1783	dl	2.0
Atp5mf	Atp5mf-dl3	gene-Atp5mf-dl3	paralog_dl	chr20	48779637	48781394	-	1758	dl	3.0
Atp5mk	Atp5mk	gene-Atp5mk	parent	chr16	47591449	47591772	-	324		
Atp5mk	Atp5mk-dl2	gene-Atp5mk-dl2	paralog_dl	chr7	29923620	29923796	+	177	dl	2.0
Atp5mk	Atp5mk-dl3	gene-Atp5mk-dl3	paralog_dl	chr8	57153093	57153425	+	333	dl	3.0
Atp5mk	Atp5mk-dl1	gene-Atp5mk-dl1	paralog_dl	chr18	18977804	18977980	+	177	dl	1.0
Atp5mk	Atp5mk-l1	gene-Atp5mk-l1	paralog_l	chr28	42294922	42295502	-	581	l	1.0
Atp5mpl	Atp5mpl	gene-Atp5mpl	parent	chr27	52142587	52147154	-	4568		
Atp5mpl	Atp5mpl-l2	gene-Atp5mpl-l2	paralog_l	chrX	173319517	173319897	+	381	l	2.0
Atp5mpl	Atp5mpl-l1	gene-Atp5mpl-l1	paralog_l	chr18	6218071	6218400	-	330	l	1.0
Atp6v0d1	Atp6v0d1	gene-Atp6v0d1	parent	chr1	156266576	156313943	-	47368		
Atp6v0d1	Atp6v0d1-dl1	gene-Atp6v0d1-dl1	paralog_dl	chr21	17549514	17551035	+	1522	dl	1.0
Atp6v1b2	Atp6v1b2	gene-Atp6v1b2	parent	chr5	22260264	22286936	-	26673		
Atp6v1b2	Atp6v1b2-l1	gene-Atp6v1b2-l1	paralog_l	chr22	68869512	68872231	-	2720	l	1.0
Atp6v1c1	Atp6v1c1	gene-Atp6v1c1	parent	chr11	11409685	11432148	-	22464		
Atp6v1c1	Atp6v1c1-l1	gene-Atp6v1c1-l1	paralog_l	chr22	11261291	11262800	-	1510	l	1.0
Atp6v1g1	Atp6v1g1	gene-Atp6v1g1	parent	chr9	82753891	82754752	-	862		
Atp6v1g1	Atp6v1g1-dl1	gene-Atp6v1g1-dl1	paralog_dl	chr13	110909577	110910726	-	1150	dl	1.0
Atp6v1g1	Atp6v1g1-dl2	gene-Atp6v1g1-dl2	paralog_dl	chr14	89676376	89685526	+	9151	dl	2.0
Atrn	Atrn	gene-Atrn	parent	chr3	148211342	148406779	-	195438		
Atrn	Atrn-l1	gene-Atrn-l1	paralog_l	chr28	28164477	28850713	-	686237	l	1.0
Atxn7l3b	Atxn7l3b	gene-Atxn7l3b	parent	chrX	127288574	127288851	+	278		
Atxn7l3b	Atxn7l3b-dl1	gene-Atxn7l3b-dl1	paralog_dl	chr16	22644866	22647293	-	2428	dl	1.0
Atxn7l3b	Atxn7l3b-dl2	gene-Atxn7l3b-dl2	paralog_dl	chr17	99361828	99365078	+	3251	dl	2.0
Auts2	Auts2	gene-Auts2	parent	chr6	39288300	39610938	+	322639		
Auts2	Auts2-l1	gene-Auts2-l1	paralog_l	chr6	38401406	38988941	+	587536	l	1.0
Bccip	Bccip	gene-Bccip	parent	chr28	17338817	17352164	-	13348		
Bccip	Bccip-dl1	gene-Bccip-dl1	paralog_dl	chr2	20756873	20757495	+	623	dl	1.0
Bcorl1	Bcorl1	gene-Bcorl1	parent	chrX	36618139	36682714	-	64576		
Bcorl1	Bcorl1-l1	gene-Bcorl1-l1	paralog_l	chr16	21176987	21179812	+	2826	l	1.0
Bdp1	Bdp1	gene-Bdp1	parent	chr10	110322236	110464131	+	141896		
Bdp1	Bdp1-l1	gene-Bdp1-l1	paralog_l	chr17	58875333	58876859	+	1527	l	1.0
Birc5	Birc5	gene-Birc5	parent	chr28	32134478	32135434	-	957		
Birc5	Birc5-dl1	gene-Birc5-dl1	paralog_dl	chr3	130606769	130607886	-	1118	dl	1.0
Bloc1s1	Bloc1s1	gene-Bloc1s1	parent	chr16	43249034	43252930	-	3897		
Bloc1s1	Bloc1s1-dl1	gene-Bloc1s1-dl1	paralog_dl	chr19	71599222	71601251	+	2030	dl	1.0
Bloc1s1	Bloc1s1-dl2	gene-Bloc1s1-dl2	paralog_dl	chr26	4903189	4903452	+	264	dl	2.0
Bloc1s2	Bloc1s2	gene-Bloc1s2	parent	chr28	7757925	7766537	-	8613		
Bloc1s2	Bloc1s2-l1	gene-Bloc1s2-l1	paralog_l	chr26	5712806	5725035	-	12230	l	1.0
Bloc1s5	Bloc1s5	gene-Bloc1s5	parent	chr13	110053847	110092543	+	38697		
Bloc1s5	Bloc1s5-dl1	gene-Bloc1s5-dl1	paralog_dl	chr8	53469299	53469943	+	645	dl	1.0
Bloc1s6	Bloc1s6	gene-Bloc1s6	parent	chr8	8767905	8776726	-	8822		
Bloc1s6	Bloc1s6-dl1	gene-Bloc1s6-dl1	paralog_dl	chr2	94811162	94811665	-	504	dl	1.0
Bloc1s6	Bloc1s6-dl2	gene-Bloc1s6-dl2	paralog_dl	chr2	94945298	94945801	+	504	dl	2.0
Bmp8b	Bmp8b	gene-Bmp8b	parent	chr19	31546658	31573182	-	26525		
Bmp8b	Bmp8b-l1	gene-Bmp8b-l1	paralog_l	chr19	31293326	31320968	+	27643	l	1.0
Bmper	Bmper	gene-Bmper	parent	chr6	11894422	12136881	-	242460		
Bmper	Bmper-l1	gene-Bmper-l1	paralog_l	chr6	131636845	131938640	-	301796	l	1.0
Bnip3	Bnip3	gene-Bnip3	parent	chr28	10256943	10275793	+	18851		
Bnip3	Bnip3-dl1	gene-Bnip3-dl1	paralog_dl	chr5	10882973	10884668	+	1696	dl	1.0
Bod1	Bod1	gene-Bod1	parent	chr11	89450819	89459815	+	8997		
Bod1	Bod1-dl1	gene-Bod1-dl1	paralog_dl	chr8	91689017	91690372	-	1356	dl	1.0
Brcc3	Brcc3	gene-Brcc3	parent	chrX	907904	926313	-	18410		
Brcc3	Brcc3-l1	gene-Brcc3-l1	paralog_l	chr4	88034082	88036585	-	2504	l	1.0
Brk1	Brk1	gene-Brk1	parent	chr6	65720236	65728076	+	7841		
Brk1	Brk1-dl1	gene-Brk1-dl1	paralog_dl	chr3	17111015	17111953	+	939	dl	1.0
Brwd1	Brwd1	gene-Brwd1	parent	chr14	47012190	47154704	-	142515		
Brwd1	Brwd1-l1	gene-Brwd1-l1	paralog_l	chr21	2337733	2341763	+	4031	l	1.0
Btf3l4	Btf3l4	gene-Btf3l4	parent	chr19	54825984	54855665	+	29682		
Btf3l4	Btf3l4-l1	gene-Btf3l4-l1	paralog_l	chr24	50336577	50337245	+	669	l	1.0
Btg1	Btg1	gene-Btg1	parent	chr1	41901867	41902870	+	1004		
Btg1	Btg1-dl1	gene-Btg1-dl1	paralog_dl	chr2	141665036	141667411	-	2376	dl	1.0
Btn1a1	Btn1a1	gene-Btn1a1	parent	chr13	90918924	90926899	-	7976		
Btn1a1	Btn1a1-l1	gene-Btn1a1-l1	paralog_l	chr13	90937562	90957236	-	19675	l	1.0
Btnl8	Btnl8	gene-Btnl8	parent	chr9	89972220	89999406	-	27187		
Btnl8	Btnl8-l1	gene-Btnl8-l1	paralog_l	chr9	89886330	89919466	-	33137	l	1.0
C4bpa	C4bpa	gene-C4bpa	parent	chr8	70768901	70805832	-	36932		
C4bpa	C4bpa-l1	gene-C4bpa-l1	paralog_l	chr8	70652809	70658592	-	5784	l	1.0
C4bpa	C4bpa-l2	gene-C4bpa-l2	paralog_l	chr8	70686915	70692324	-	5410	l	2.0
C5	C5	gene-C5	parent	chr14	96807793	96909697	-	101905		
C5	C5-l1	gene-C5-l1	paralog_l	chr14	96939792	96991294	-	51503	l	1.0
C5	C5-l2	gene-C5-l2	paralog_l	chr14	97003673	97055010	-	51338	l	2.0
Calm	Calm	gene-Calm	parent	chr4	103155264	103156315	+	1052		
Calm	Calm-l1	gene-Calm-l1	paralog_l	chr4	89830916	89831952	-	1037	l	1.0
Calm	Calm-l2	gene-Calm-l2	paralog_l	chr5	62841781	62843030	-	1250	l	2.0
Calr	Calr	gene-Calr	parent	chr3	127309797	127314138	-	4342		
Calr	Calr-l1	gene-Calr-l1	paralog_l	chr19	54333620	54374649	-	41030	l	1.0
Camp	Camp	gene-Camp	parent	chr16	2210975	2213686	+	2712		
Camp	Camp-l1	gene-Camp-l1	paralog_l	chr16	1562151	1563457	+	1307	l	1.0
Capza1	Capza1	gene-Capza1	parent	chr21	10895257	10923740	-	28484		
Capza1	Capza1-l2	gene-Capza1-l2	paralog_l	chr7	15131854	15134158	+	2305	l	2.0
Capza1	Capza1-l1	gene-Capza1-l1	paralog_l	chr19	68326478	68328650	-	2173	l	1.0
Casp3	Casp3	gene-Casp3	parent	chr5	45660424	45678980	-	18557		
Casp3	Casp3-l1	gene-Casp3-l1	paralog_l	chr17	6239072	6239982	-	911	l	1.0
Casp6	Casp6	gene-Casp6	parent	chr1	96460008	96469736	+	9729		
Casp6	Casp6-dl1	gene-Casp6-dl1	paralog_dl	chr5	48242312	48243109	-	798	dl	1.0
Cbr1	Cbr1	gene-Cbr1	parent	chr14	43859454	43863160	+	3707		
Cbr1	Cbr1-l1	gene-Cbr1-l1	paralog_l	chr14	44013084	44016225	+	3142	l	1.0
Ccdc115	Ccdc115	gene-Ccdc115	parent	chr26	813553	819089	+	5537		
Ccdc115	Ccdc115-l1	gene-Ccdc115-l1	paralog_l	chr18	28581946	28582535	-	590	l	1.0
Ccdc167	Ccdc167	gene-Ccdc167	parent	chr1	7822602	7846583	+	23982		
