	Chromosome	Start	End	Length	gene_count	repeat_count	unknown_repeat_count	LINE_repeat_count	LTR_repeat_count	SINE_repeat_count	DNA_transposon_repeat_count	Cumulative_Length	Cumulative_Length_Pct
28934	chrY	76589142	76999844	410702	0	717	136	225	189	80	0	288414542	55.21304281644025
28915	chrY	71805476	72210947	405471	0	935	221	192	144	260	4	288820013	55.29066472665525
14453	chr21	87276898	87681301	404403	0	953	228	179	146	304	10	289224416	55.36808218279066
14218	chr21	51757337	52158989	401652	7	762	206	206	89	173	1	289626068	55.444972997378315
14370	chr21	70610017	71006667	396650	1	944	229	167	144	317	29	290022718	55.520906247072574
11355	chr2	5171216	5563517	392301	1	1117	557	135	95	252	1	290415019	55.596006939845324
23622	chr7	37582139	37973901	391762	4	1241	305	235	256	309	4	290806781	55.67100444839623
14416	chr21	77715703	78107344	391641	0	878	216	172	122	273	11	291198422	55.74597879314226
12276	chr2	70063574	70454864	391290	0	1060	354	209	138	249	9	291589712	55.82088594371043
28838	chrY	65387944	65778357	390413	0	601	270	82	89	89	1	291980125	55.89562520455219
14358	chr21	67946369	68334217	387848	0	798	198	150	121	261	30	292367973	55.96987343101738
1134	chr1	123601090	123985562	384472	0	952	535	361	45	5	0	292752445	56.04347536818226
14359	chr21	68352972	68735407	382435	0	828	210	161	117	270	28	293134880	56.11668734939196
14357	chr21	67549616	67927322	377706	0	834	204	156	131	271	31	293512586	56.18899402784656
11398	chr2	8479991	8856897	376906	0	1052	483	146	80	255	2	293889492	56.26114755717787
26536	chr9	125243786	125620632	376846	1	635	191	106	69	172	8	294266338	56.33328960032493
14371	chr21	71015284	71388783	373499	1	824	204	172	97	279	30	294639837	56.404790905827404
6846	chr15	47664239	48034999	370760	0	1082	293	177	199	323	0	295010597	56.47576786701899
14360	chr21	68754336	69124495	370159	0	810	197	153	132	256	31	295380756	56.5466297749317
28815	chrY	42641939	43008223	366284	0	627	168	89	75	196	8	295747040	56.61674986677845
28779	chrY	2148993	2514865	365872	0	622	169	87	70	191	9	296112912	56.686791086826695
14372	chr21	71414099	71778382	364283	0	781	213	149	104	245	28	296477195	56.7565281144288
28788	chrY	20153592	20516788	363196	0	615	171	93	76	170	10	296840391	56.826057050659614
28818	chrY	48436335	48796512	360177	0	626	175	88	86	170	10	297200568	56.89500804038641
2672	chr10	122719752	123078044	358292	1	718	327	111	70	150	4	297558860	56.96359817249142
14457	chr21	87748837	88106816	357979	0	837	262	147	100	239	4	297916839	57.03212838500195
15480	chr23	18159874	18517089	357215	1	1016	263	152	187	311	15	298274054	57.100512340099726
14383	chr21	73950296	74307063	356767	0	790	197	151	109	260	26	298630821	57.168810531688464
12363	chr2	118291513	118647635	356122	0	987	437	126	111	234	2	298986943	57.236985246796536
14375	chr21	71980112	72327711	347599	2	836	208	149	133	266	26	299334542	57.3035283494323
28817	chrY	48082400	48429622	347222	0	763	287	117	93	201	2	299681764	57.3699992805437
12304	chr2	73005861	73350379	344518	1	847	234	230	71	197	1	300026282	57.43595256761837
28785	chrY	19232589	19576306	343717	0	941	305	157	93	253	2	300369999	57.501752514133344
26774	chrX	12050671	12390612	339941	2	568	158	196	61	136	0	300709940	57.56682959678635
9684	chr18	37392124	37729796	337672	1	859	250	151	99	290	7	301047612	57.63147231023841
14379	chr21	72970781	73307727	336946	0	810	198	142	129	262	24	301384558	57.695976040861076
20597	chr4	92631458	92966402	334944	0	668	218	151	79	149	3	301719502	57.760096515802694
14436	chr21	83795177	84129648	334471	0	829	245	147	101	244	4	302053973	57.82412644132516
19593	chr3	137381321	137714759	333438	3	845	202	165	100	242	11	302387411	57.88795861304218
14435	chr21	83439946	83770858	330912	0	709	192	123	93	226	7	302718323	57.95130721640239
28713	chrX	195308360	195638877	330517	0	1204	309	207	131	347	19	303048840	58.01458020238297
11371	chr2	6501277	6830727	329450	2	851	400	112	98	186	1	303378290	58.07764892572035
11375	chr2	7133196	7461914	328718	0	892	455	113	79	186	0	303707008	58.14057751760991
11331	chr2	1946097	2274508	328411	0	913	454	117	79	200	0	304035419	58.20344733852342
6315	chr14	106103724	106431629	327905	0	735	283	154	106	142	0	304363324	58.266220292616445
11337	chr2	2786705	3113490	326785	0	901	462	116	75	184	0	304690109	58.328778837936845
6292	chr14	104738144	105064761	326617	0	328	102	82	38	63	0	305016726	58.39130522194136
2248	chr10	86607447	86931781	324334	0	644	237	102	74	178	3	305341060	58.45339455663526
14441	chr21	85140613	85464634	324021	0	689	189	116	83	232	7	305665081	58.51542397173467
14449	chr21	86374457	86697568	323111	0	675	185	116	81	224	7	305988192	58.577279179706345
14426	chr21	79531051	79851160	320109	0	783	225	141	92	236	4	306308301	58.63855969559284
17878	chr27	49021521	49337707	316186	1	331	328	0	2	1	0	306624487	58.69908920646597
14361	chr21	69143547	69456464	312917	1	733	205	135	98	228	28	306937404	58.75899291173404
11311	chr2	551372	863793	312421	0	892	453	114	73	192	0	307249825	58.81880166454566
6913	chr15	54201948	54513959	312011	2	778	186	141	112	214	6	307561836	58.878531928431585
19285	chr3	111190545	111501918	311373	0	722	177	134	111	203	5	307873209	58.938140055891694
14376	chr21	72354485	72664907	310422	2	712	176	136	97	235	28	308183631	58.99756612733148
17149	chr26	30494072	30803928	309856	0	698	216	116	67	187	6	308493487	59.05688384576654
9311	chr18	322	309565	309243	0	681	215	113	91	209	5	308802730	59.11608421368586
20763	chr4	133261726	133570676	308950	1	481	186	91	64	90	6	309111680	59.17522849073878
14380	chr21	73334514	73642725	308211	0	696	176	133	90	232	28	309419891	59.23423129628907
20735	chr4	105256375	105564094	307719	1	756	181	185	100	180	0	309727610	59.29313991512851
12269	chr2	69214141	69521190	307049	0	709	180	204	60	165	0	310034659	59.3519202715772
12341	chr2	77197541	77503541	306000	0	724	198	201	66	162	0	310340659	59.41049981123796
6826	chr15	45922949	46227622	304673	0	907	263	169	151	262	0	310645332	59.468825314790465
20847	chr5	10822616	11125569	302953	5	890	198	138	265	206	6	310948285	59.52682154772787
4437	chr12	120186174	120488550	302376	1	647	162	179	80	148	0	311250661	59.58470732186011
12349	chr2	95576967	95876385	299418	0	832	417	96	80	186	1	311550079	59.64202682710895
14223	chr21	52488233	52786973	298740	5	581	146	150	75	125	2	311848819	59.69921653847581
20519	chr4	87384340	87680753	296413	1	1006	265	166	159	353	7	312145232	59.75596077733027
14362	chr21	69475289	69770007	294718	1	692	169	130	112	218	23	312439950	59.81238053147976
2593	chr10	118602089	118895519	293430	0	541	236	79	57	117	4	312733380	59.86855371554073
28939	chrY	78732576	79025964	293388	0	452	108	129	91	67	0	313026768	59.924718859272744
2565	chr10	116844713	117137388	292675	0	551	236	89	54	119	4	313319443	59.980747508848594
19279	chr3	110630222	110921786	291564	0	583	137	133	61	180	1	313611007	60.03656347257949
19798	chr4	16510581	16801703	291122	3	722	198	173	101	161	5	313902129	60.092294821419756
13710	chr20	87420958	87710124	289166	0	669	179	140	97	196	0	314191295	60.14765172065356
2584	chr10	117990413	118277382	286969	0	504	218	83	45	118	4	314478264	60.20258803410752
7855	chr16	41770761	42057000	286239	4	624	147	123	109	167	13	314764503	60.25738459898646
9334	chr18	2960638	3246465	285827	0	487	124	122	37	146	1	315050330	60.31210229206692
19215	chr3	106647451	106932142	284691	4	510	125	161	52	118	2	315335021	60.36660251339229
16422	chr24	41085140	41368746	283606	5	1066	315	175	197	276	0	315618627	60.42089502621919
10250	chr18	99503631	99786148	282517	0	665	180	102	115	218	5	315901144	60.47497906480201
14369	chr21	70320318	70601248	280930	0	629	140	110	96	219	21	316182074	60.528759293811476
19756	chr4	14443883	14724031	280148	3	440	115	143	48	92	0	316462222	60.58238981955293
11415	chr2	10687994	10968032	280038	0	702	190	188	68	171	0	316742260	60.63599928728992
11307	chr2	475	278570	278095	0	741	212	158	108	169	9	317020355	60.689236794093716
14444	chr21	85505643	85783573	277930	0	545	149	91	66	180	4	317298285	60.74244271389083
1013	chr1	109924659	110200946	276287	3	647	168	113	109	173	5	317574572	60.79533410367598
14445	chr21	85817588	86092916	275328	0	596	142	110	85	189	7	317849900	60.84804190594957
25546	chr9	8924179	9199317	275138	0	453	192	93	64	70	0	318125038	60.90071333530638
12357	chr2	105850138	106124990	274852	0	441	186	89	63	66	0	318399890	60.95333001385161
28828	chrY	64174606	64448950	274344	0	316	126	50	38	28	0	318674234	61.00584944270355
6918	chr15	55980314	56250572	270258	0	74	31	7	15	15	0	318944492	61.057586662408255
23409	chr7	21516614	21784886	268272	0	476	132	106	81	97	0	319212764	61.108943689414374
11316	chr2	936492	1204759	268267	0	750	314	102	66	196	5	319481031	61.16029975923848
20606	chr4	93545306	93812392	267086	0	437	158	115	30	104	0	319748117	61.21142974266931
2225	chr10	85121002	85386077	265075	0	512	218	74	56	113	3	320013192	61.26217474749146
26142	chr9	76678831	76940047	261216	3	656	173	111	108	175	12	320274408	61.3121809992301
28811	chrY	27280177	27536313	256136	1	616	214	103	66	165	3	320530544	61.36121475403583
11970	chr2	44578184	44833531	255347	3	494	117	119	65	137	0	320785891	61.410097465518696
13706	chr20	86947070	87201965	254895	2	617	170	133	97	171	0	321040786	61.458893647746905
14464	chr21	90005815	90257953	252138	0	644	164	95	92	227	7	321292924	61.50716203980895
22782	chr6	98342220	98593206	250986	4	502	133	86	128	92	5	321543910	61.555209897133444
9333	chr18	2693176	2944029	250853	0	665	193	106	80	236	5	321794763	61.6032322934162
24968	chr8	59206301	59456640	250339	6	974	246	166	182	269	0	322045102	61.65115629138723
14221	chr21	52229569	52479809	250240	3	510	144	100	62	126	0	322295342	61.69906133715426
26043	chr9	66322404	66570619	248215	3	611	195	102	62	165	13	322543557	61.74657872420295
10175	chr18	93251960	93499944	247984	0	607	172	110	71	202	5	322791541	61.79405188944228
12296	chr2	71897177	72144290	247113	0	590	149	168	57	137	0	323038654	61.841358313573615
1278	chr1	142915212	143159917	244705	3	454	134	117	50	82	4	323283359	61.888203758843844
22768	chr6	97306267	97550654	244387	3	455	111	98	42	143	1	323527746	61.93498832733755
18900	chr3	76900657	77144266	243609	0	505	127	133	68	115	5	323771355	61.98162395830886
10170	chr18	92882247	93124856	242609	0	750	161	112	107	277	6	324013964	62.028068152876045
10176	chr18	93505240	93747753	242513	0	745	151	108	104	286	6	324256477	62.07449396954844
19714	chr3	151205447	151446951	241504	0	14	6	5	1	1	0	324497981	62.120726626889066
28662	chrX	188978370	189219512	241142	2	535	139	122	61	160	7	324739123	62.166889984251405
16979	chr25	47214489	47453266	238777	15	633	169	125	84	156	2	324977900	62.21260059451801
5176	chr13	91453426	91692064	238638	5	451	106	94	75	119	0	325216538	62.25828459512442
14399	chr21	75433492	75670523	237031	0	541	146	116	76	153	4	325453569	62.30366095742943
10181	chr18	94139224	94375224	236000	0	706	193	116	88	257	5	325689569	62.348839948801796
2231	chr10	85565349	85800587	235238	0	495	214	75	50	112	3	325924807	62.39387306563421
16601	chr25	4263994	4497750	233756	3	554	159	112	61	135	3	326158563	62.43862247371571
19347	chr3	114144913	114377873	232960	3	490	107	124	50	145	8	326391523	62.48321949841954
12937	chr20	22089393	22321881	232488	2	450	120	122	62	106	0	326624011	62.52772616514063
9341	chr18	3634379	3865993	231614	3	832	160	114	230	166	1	326855625	62.57206551644452
20595	chr4	92382615	92614146	231531	0	377	129	92	23	105	0	327087156	62.61638897852686
10121	chr18	88520494	88750871	230377	0	596	180	101	70	200	5	327317533	62.66049152299885
14411	chr21	76691941	76922231	230290	0	607	180	125	82	173	3	327547823	62.70457741250367
9551	chr18	24378848	24608472	229624	0	642	150	97	80	227	7	327777447	62.74853580536336
28797	chrY	25740846	25970218	229372	0	794	195	134	118	227	11	328006819	62.79244595624921
20850	chr5	11324166	11552735	228569	3	632	146	95	150	151	6	328235388	62.83620238370254
14363	chr21	69780706	70007284	226578	2	559	116	91	106	191	15	328461966	62.879577661275285
10056	chr18	82755975	82982449	226474	2	815	212	108	196	199	0	328688440	62.922933029461994
28923	chrY	75344834	75571056	226222	0	400	68	126	103	56	0	328914662	62.96624015567486
26376	chr9	101325344	101551484	226140	2	558	131	96	77	156	7	329140802	63.00953158410258
10178	chr18	93818697	94043223	224526	0	599	178	103	69	210	5	329365328	63.05251403417407
9737	chr18	41540395	41762888	222493	0	600	185	98	77	196	5	329587821	63.09510729403598
27000	chrX	29676423	29897778	221355	0	554	164	94	117	137	0	329809176	63.13748269926999
9542	chr18	23549704	23769378	219674	0	592	176	101	72	201	5	330028850	63.179536299908676
15108	chr22	58894050	59113342	219292	1	304	67	90	41	78	7	330248142	63.221516771841
1011	chr1	109653817	109871726	217909	3	483	125	119	51	128	2	330466051	63.26323248722642
23743	chr7	50012585	50230455	217870	1	437	115	54	91	136	5	330683921	63.30494073659207
19542	chr3	128878712	129096258	217546	1	329	87	85	45	64	0	330901467	63.3465869605628
27527	chrX	79975828	80192906	217078	0	527	163	134	71	101	4	331118545	63.38814359229639
11407	chr2	9683241	9900047	216806	0	482	131	126	46	119	0	331335351	63.42964815332807
10222	chr18	96893950	97110052	216102	0	591	183	94	75	199	5	331551453	63.47101794313124
20599	chr4	92980517	93196618	216101	0	356	120	86	25	92	0	331767554	63.51238754149801
9522	chr18	22169369	22385437	216068	0	582	173	96	74	201	5	331983622	63.55375082246344
9327	chr18	1629467	1845156	215689	0	588	178	96	75	200	5	332199311	63.595041549031706
832	chr1	92557525	92771254	213729	2	427	140	99	57	87	4	332413040	63.635957060247904
28876	chrY	69895230	70108518	213288	0	332	68	120	48	52	0	332626328	63.67678814800988
16459	chr24	43229916	43442801	212885	3	333	96	119	31	54	0	332839213	63.717542086901005
23740	chr7	49697314	49910170	212856	1	393	97	46	99	124	4	333052069	63.7582904741364
6148	chr14	87946639	88159305	212666	1	324	107	85	24	71	0	333264735	63.79900248845502
17128	chr26	19924090	20135152	211062	0	500	144	113	68	115	2	333475797	63.83940743878143
11624	chr2	26806780	27017332	210552	3	756	181	128	110	265	0	333686349	63.87971475654173
19294	chr3	111817562	112026066	208504	0	435	83	92	64	146	4	333894853	63.9196300125464
14391	chr21	74845447	75052261	206814	1	558	160	82	81	190	3	334101667	63.9592217410281
26694	chrX	6445832	6652607	206775	0	363	101	82	58	97	0	334308442	63.99880600349005
4484	chr12	123266321	123472412	206091	0	125	122	0	0	0	0	334514533	64.03825932345157
2619	chr10	120114546	120320433	205887	0	342	148	53	32	77	4	334720420	64.07767359038667
8058	chr16	52693021	52898110	205089	4	423	148	100	46	93	8	334925509	64.11693509107126
11342	chr2	3169936	3373806	203870	1	523	249	58	49	128	1	335129379	64.15596323077924
27179	chrX	51320589	51522927	202338	1	282	98	61	26	75	2	335331717	64.19469808991609
4436	chr12	119954293	120156567	202274	3	473	132	112	54	114	0	335533991	64.2334206971231
11359	chr2	5617500	5819359	201859	0	550	248	64	62	130	1	335735850	64.27206385822238
20601	chr4	93225252	93426049	200797	0	392	134	82	39	102	0	335936647	64.3105037138605
12009	chr2	46196769	46397324	200555	0	337	154	34	72	51	0	336137202	64.3488972418888
