	Unnamed: 0	Chromosome	source	type	Gene Start	Gene End	score	Strand	phase	attributes	gene	Start	End	overlaps_dup
402	14737	chrX	Liftoff	gene	70762496	70762602	.	+	.	ID=gene-LOC111814462;Dbxref=GeneID:111814462;Name=LOC111814462;origin=liftoff;copy_num_ID=gene-LOC111814462_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111814462;gene_biotype=snRNA;sequence_ID=0.990	LOC111814462	70762495	70762602	True
403	14740	chrX	Liftoff	gene	70911473	70919362	.	+	.	ID=gene-Pwwp3b;Dbxref=GeneID:101577164;Name=Pwwp3b;origin=rename;copy_num_ID=gene-LOC101577164_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101577164;gene_biotype=protein_coding;sequence_ID=0.994;valid_ORFs=1	PWWP3B	70911472	70919362	True
404	14750	chrX	Liftoff	gene	71010190	71052890	.	-	.	ID=gene-Pwwp3b-l1;Dbxref=GeneID:101571038;Name=Pwwp3b-l1;origin=rename;copy_num_ID=gene-LOC101571038_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101571038;gene_biotype=protein_coding;sequence_ID=0.997;valid_ORFs=2	PWWP3B-L1	71010189	71052890	True
435	15201	chrX	Liftoff	gene	75581750	75602922	.	+	.	ID=gene-Nxf2;Dbxref=GeneID:101589622;Name=Nxf2;origin=rename;copy_num_ID=gene-LOC101589622_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101589622;gene_biotype=protein_coding;sequence_ID=0.978;valid_ORFs=1	NXF2	75581749	75602922	True
450	15684	chrX	Liftoff	gene	76740427	76809385	.	-	.	ID=gene-Cenpi;Dbxref=GeneID:101581753;Name=Cenpi;origin=liftoff;copy_num_ID=gene-Cenpi_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=Cenpi;gene_biotype=protein_coding;sequence_ID=0.999;valid_ORFs=1	CENPI	76740426	76809385	True
490	16777	chrX	Liftoff	gene	90301956	90302420	.	+	.	ID=gene-Ube2d2-l1;Dbxref=GeneID:101565664;Name=Ube2d2-l1;origin=rename;copy_num_ID=gene-LOC101565664_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101565664;gene_biotype=protein_coding;sequence_ID=1.0;valid_ORFs=1	UBE2D2-L1	90301955	90302420	True
491	16782	chrX	Liftoff	gene	91076368	91076832	.	-	.	ID=gene-Ube2d2-l2;Dbxref=GeneID:101562899;Name=Ube2d2-l2;origin=rename;copy_num_ID=gene-LOC101562899_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101562899;gene_biotype=protein_coding;sequence_ID=0.997;valid_ORFs=1	UBE2D2-L2	91076367	91076832	True
492	16787	chrX	Liftoff	gene	91528657	91529100	.	-	.	ID=gene-LOC101560909;Dbxref=GeneID:101560909;Name=LOC101560909;origin=liftoff;copy_num_ID=gene-LOC101560909_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101560909;gene_biotype=protein_coding;sequence_ID=1.0;valid_ORFs=1	LOC101560909	91528656	91529100	True
552	17924	chrX	Liftoff	gene	102555912	102560278	.	-	.	ID=gene-Pbdc1-l1;Dbxref=GeneID:101589794;Name=Pbdc1-l1;origin=rename;copy_num_ID=gene-LOC101589794_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101589794;gene_biotype=protein_coding;sequence_ID=0.992;valid_ORFs=1	PBDC1-L1	102555911	102560278	True
553	17940	chrX	Liftoff	gene	102731889	102737160	.	+	.	ID=gene-Pbdc1-l2;Dbxref=GeneID:101589009;Name=Pbdc1-l2;origin=rename;copy_num_ID=gene-LOC101589009_0;coverage=0.995;extra_copy_number=0;gbkey=Gene;gene=LOC101589009;gene_biotype=protein_coding;sequence_ID=0.990;valid_ORFs=2	PBDC1-L2	102731888	102737160	True
665	21785	chrX	AUGUSTUS	gene	118243036	118246064	.	+	.	ID=gene-Zxdb-dl1;Name=Zxdb-dl1;origin=de_novo	ZXDB-DL1	118243035	118246064	True
666	21793	chrX	Liftoff	gene	118330783	118375234	.	-	.	ID=gene-Zxdb;Dbxref=GeneID:101565590;Name=Zxdb;origin=liftoff;copy_num_ID=gene-Zxdb_0;coverage=0.986;extra_copy_number=0;gbkey=Gene;gene=Zxdb;gene_biotype=protein_coding;sequence_ID=0.985;valid_ORFs=0	ZXDB	118330782	118375234	True
709	25739	chrX	Liftoff	gene	129590676	129643997	.	+	.	ID=gene-Fam156a;Dbxref=GeneID:101573726;Name=Fam156a;origin=rename;copy_num_ID=gene-LOC101573726_0;coverage=0.984;extra_copy_number=0;gbkey=Gene;gene=LOC101573726;gene_biotype=protein_coding;sequence_ID=0.981;valid_ORFs=6	FAM156A	129590675	129643997	True
710	25788	chrX	Liftoff	gene	129629748	129633502	.	-	.	ID=gene-Srrm1-l1;Dbxref=GeneID:101581285;Name=Srrm1-l1;origin=rename;copy_num_ID=gene-LOC101581285_0;coverage=0.997;end_range=396685,.;extra_copy_number=0;gbkey=Gene;gene=LOC101581285;gene_biotype=protein_coding;partial=true;sequence_ID=0.996;valid_ORFs=0	SRRM1-L1	129629747	129633502	True
864	33351	chrX	Liftoff	gene	150027275	150027697	.	+	.	ID=gene-Fth;Dbxref=GeneID:101573977;Name=Fth;origin=rename;copy_num_ID=gene-LOC101573977_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101573977;gene_biotype=protein_coding;sequence_ID=0.997;valid_ORFs=1	FTH	150027274	150027697	True
868	33364	chrX	Liftoff	gene	151475806	151476159	.	+	.	ID=gene-H2ab1;Dbxref=GeneID:101591772;Name=H2ab1;origin=rename;copy_num_ID=gene-LOC101591772_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101591772;gene_biotype=protein_coding;sequence_ID=1.0;valid_ORFs=1	H2AB1	151475805	151476159	True
869	33368	chrX	Liftoff	gene	151536710	151537063	.	+	.	ID=gene-H2al3;Dbxref=GeneID:101590981;Name=H2al3;origin=rename;copy_num_ID=gene-LOC101590981_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101590981;gene_biotype=protein_coding;sequence_ID=1.0;valid_ORFs=1	H2AL3	151536709	151537063	True
900	34385	chrX	AUGUSTUS	gene	161742208	161743296	.	-	.	ID=gene-Mageb4-dl1;Name=Mageb4-dl1;origin=de_novo	MAGEB4-DL1	161742207	161743296	True
901	34392	chrX	Liftoff	gene	161876757	161877845	.	+	.	ID=gene-Mageb4-l2;Dbxref=GeneID:101587169;Name=Mageb4-l2;origin=rename;copy_num_ID=gene-LOC101587169_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101587169;gene_biotype=protein_coding;sequence_ID=0.991;valid_ORFs=1	MAGEB4-L2	161876756	161877845	True
902	34396	chrX	Liftoff	gene	161913179	161917613	.	+	.	ID=gene-Mageb4-l3;Dbxref=GeneID:101587558;Name=Mageb4-l3;origin=rename;copy_num_ID=gene-LOC101587558_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101587558;gene_biotype=protein_coding;sequence_ID=0.989;valid_ORFs=1	MAGEB4-L3	161913178	161917613	True
903	34404	chrX	Liftoff	gene	161952321	161953592	.	+	.	ID=gene-Mageb3;Dbxref=GeneID:101587948;Name=Mageb3;origin=rename;copy_num_ID=gene-LOC101587948_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101587948;gene_biotype=protein_coding;sequence_ID=1.0;valid_ORFs=1	MAGEB3	161952320	161953592	True
904	34408	chrX	Liftoff	gene	161965816	162016528	.	-	.	ID=gene-Mageb3-l1;Dbxref=GeneID:101588346;Name=Mageb3-l1;origin=rename;copy_num_ID=gene-LOC101588346_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101588346;gene_biotype=protein_coding;sequence_ID=0.996;valid_ORFs=1	MAGEB3-L1	161965815	162016528	True
905	34422	chrX	Liftoff	gene	162012692	162013717	.	-	.	ID=gene-Mageb4-l4;Dbxref=GeneID:101588734;Name=Mageb4-l4;origin=rename;copy_num_ID=gene-LOC101588734_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101588734;gene_biotype=protein_coding;sequence_ID=0.998;valid_ORFs=1	MAGEB4-L4	162012691	162013717	True
1015	38944	chrX	Liftoff	gene	183153329	183153435	.	+	.	ID=gene-LOC111817772;Dbxref=GeneID:111817772;Name=LOC111817772;origin=liftoff;copy_num_ID=gene-LOC111817772_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111817772;gene_biotype=snRNA;sequence_ID=1.0	LOC111817772	183153328	183153435	True
1042	39903	chrX	AUGUSTUS	gene	188912355	188914458	.	+	.	ID=gene-Ywhah-dl2;Name=Ywhah-dl2;origin=de_novo	YWHAH-DL2	188912354	188914458	True
1043	39911	chrX	AUGUSTUS	gene	188928212	188930316	.	-	.	ID=gene-Ywhah-dl3;Name=Ywhah-dl3;origin=de_novo	YWHAH-DL3	188928211	188930316	True
1044	39919	chrX	Liftoff	gene	189156448	189156572	.	+	.	ID=gene-LOC111814727;Dbxref=GeneID:111814727;Name=LOC111814727;origin=liftoff;copy_num_ID=gene-LOC111814727_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111814727;gene_biotype=snRNA;sequence_ID=0.992	LOC111814727	189156447	189156572	True
1045	39922	chrX	Liftoff	gene	189178803	189185326	.	-	.	ID=gene-Prdm9;Dbxref=GeneID:101568686;Name=Prdm9;origin=liftoff;copy_num_ID=gene-Prdm9_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=Prdm9;gene_biotype=protein_coding;sequence_ID=0.996;valid_ORFs=1	PRDM9	189178802	189185326	True
1046	39940	chrX	Liftoff	gene	189359064	189382511	.	+	.	ID=gene-LOC101567490;Dbxref=GeneID:101567490;Name=LOC101567490;origin=liftoff;copy_num_ID=gene-LOC101567490_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101567490;gene_biotype=protein_coding;sequence_ID=0.953;valid_ORFs=0	LOC101567490	189359063	189382511	True
1047	39962	chrX	Liftoff	gene	189590331	189594822	.	+	.	ID=gene-LOC101562067;Dbxref=GeneID:101562067;Name=LOC101562067;origin=liftoff;copy_num_ID=gene-LOC101562067_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101562067;gene_biotype=protein_coding;sequence_ID=0.997;valid_ORFs=1	LOC101562067	189590330	189594822	True
1048	39970	chrX	Liftoff	gene	189746554	189751506	.	-	.	ID=gene-LOC101575321;Dbxref=GeneID:101575321;Name=LOC101575321;origin=liftoff;copy_num_ID=gene-LOC101575321_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101575321;gene_biotype=protein_coding;partial=true;sequence_ID=0.991;start_range=.,49883;valid_ORFs=0	LOC101575321	189746553	189751506	True
1049	39987	chrX	Liftoff	gene	189868536	189870562	.	+	.	ID=gene-LOC101560229;Dbxref=GeneID:101560229;Name=LOC101560229;origin=liftoff;copy_num_ID=gene-LOC101560229_0;coverage=1.0;end_range=4469,.;extra_copy_number=0;gbkey=Gene;gene=LOC101560229;gene_biotype=protein_coding;partial=true;sequence_ID=0.995;valid_ORFs=0	LOC101560229	189868535	189870562	True
1050	39999	chrX	Liftoff	gene	189992277	190166634	.	-	.	ID=gene-Shroom2;Dbxref=GeneID:101567621;Name=Shroom2;origin=liftoff;copy_num_ID=gene-Shroom2_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=Shroom2;gene_biotype=protein_coding;sequence_ID=0.998;valid_ORFs=4	SHROOM2	189992276	190166634	True
1051	40090	chrX	Liftoff	gene	190119901	190120007	.	+	.	ID=gene-LOC111814486;Dbxref=GeneID:111814486;Name=LOC111814486;origin=liftoff;copy_num_ID=gene-LOC111814486_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111814486;gene_biotype=snRNA;sequence_ID=0.990	LOC111814486	190119900	190120007	True
1052	40093	chrX	Liftoff	gene	190126664	190126766	.	+	.	ID=gene-LOC111814487;Dbxref=GeneID:111814487;Name=LOC111814487;origin=liftoff;copy_num_ID=gene-LOC111814487_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111814487;gene_biotype=snRNA;sequence_ID=1.0	LOC111814487	190126663	190126766	True
1053	40096	chrX	Liftoff	gene	190194591	190223693	.	+	.	ID=gene-Gpr143;Dbxref=GeneID:101568422;Name=Gpr143;origin=liftoff;copy_num_ID=gene-Gpr143_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=Gpr143;gene_biotype=protein_coding;sequence_ID=0.995;valid_ORFs=1	GPR143	190194590	190223693	True
1054	40117	chrX	Liftoff	gene	190357111	190582080	.	-	.	ID=gene-Tbl1x;Dbxref=GeneID:101566163;Name=Tbl1x;origin=liftoff;copy_num_ID=gene-Tbl1x_0;coverage=0.998;extra_copy_number=0;gbkey=Gene;gene=Tbl1x;gene_biotype=protein_coding;sequence_ID=0.997;valid_ORFs=2	TBL1X	190357110	190582080	True
1087	40741	chrX	Liftoff	gene	197034100	197142548	.	+	.	ID=gene-LOC101564436;Dbxref=GeneID:101564436;Name=LOC101564436;origin=liftoff;copy_num_ID=gene-LOC101564436_0;coverage=0.996;extra_copy_number=0;gbkey=Gene;gene=LOC101564436;gene_biotype=protein_coding;sequence_ID=0.990;valid_ORFs=3	LOC101564436	197034099	197142548	True
1091	40798	chrX	Liftoff	gene	197096279	197618725	.	+	.	ID=gene-LOC111814145;Dbxref=GeneID:111814145;Name=LOC111814145;origin=liftoff;copy_num_ID=gene-LOC111814145_0;coverage=0.986;extra_copy_number=0;gbkey=Gene;gene=LOC111814145;gene_biotype=protein_coding;sequence_ID=0.985;valid_ORFs=0	LOC111814145	197096278	197618725	True
1110	41005	chrY	AUGUSTUS	gene	4824204	4824857	.	-	.	ID=gene-Rpl10a-dl10;Name=Rpl10a-dl10;origin=de_novo	RPL10A-DL10	4824203	4824857	True
1111	41012	chrY	Liftoff	gene	10570878	10573204	.	-	.	ID=gene-LOC111814767;Dbxref=GeneID:111814767;Name=LOC111814767;origin=liftoff;copy_num_ID=gene-LOC111814767_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111814767;gene_biotype=lncRNA;sequence_ID=0.996	LOC111814767	10570877	10573204	True
1112	41017	chrY	Liftoff	gene	10577326	10579963	.	-	.	ID=gene-LOC111814766;Dbxref=GeneID:111814766;Name=LOC111814766;origin=liftoff;copy_num_ID=gene-LOC111814766_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111814766;gene_biotype=lncRNA;sequence_ID=1.0	LOC111814766	10577325	10579963	True
1113	41022	chrY	Liftoff	gene	11407469	11409980	.	-	.	ID=gene-LOC111814656;Dbxref=GeneID:111814656;Name=LOC111814656;origin=liftoff;copy_num_ID=gene-LOC111814656_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111814656;gene_biotype=lncRNA;sequence_ID=0.997	LOC111814656	11407468	11409980	True
1114	41027	chrY	Liftoff	gene	11412345	11413630	.	-	.	ID=gene-LOC111814657;Dbxref=GeneID:111814657;Name=LOC111814657;origin=liftoff;copy_num_ID=gene-LOC111814657_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111814657;gene_biotype=lncRNA;sequence_ID=0.996	LOC111814657	11412344	11413630	True
1115	41032	chrY	AUGUSTUS	gene	13382200	13382853	.	+	.	ID=gene-Rpl10a-dl11;Name=Rpl10a-dl11;origin=de_novo	RPL10A-DL11	13382199	13382853	True
1116	41039	chrY	Liftoff	gene	15315057	15316646	.	-	.	ID=gene-LOC101589680;Dbxref=GeneID:101589680;Name=LOC101589680;origin=liftoff;copy_num_ID=gene-LOC101589680_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101589680;gene_biotype=protein_coding;sequence_ID=0.988;valid_ORFs=1	LOC101589680	15315056	15316646	True
1117	41046	chrY	Liftoff	gene	16858114	16861615	.	-	.	ID=gene-LOC111814932;Dbxref=GeneID:111814932;Name=LOC111814932;origin=liftoff;copy_num_ID=gene-LOC111814932_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111814932;gene_biotype=lncRNA;sequence_ID=1.0	LOC111814932	16858113	16861615	True
1118	41051	chrY	Liftoff	gene	17682829	17684881	.	+	.	ID=gene-LOC111814935;Dbxref=GeneID:111814935;Name=LOC111814935;origin=liftoff;copy_num_ID=gene-LOC111814935_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111814935;gene_biotype=protein_coding;sequence_ID=0.990;valid_ORFs=1	LOC111814935	17682828	17684881	True
1119	41061	chrY	Liftoff	gene	19901883	19913662	.	+	.	ID=gene-LOC105741353;Dbxref=GeneID:105741353;Name=LOC105741353;origin=liftoff;copy_num_ID=gene-LOC105741353_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC105741353;gene_biotype=protein_coding;sequence_ID=0.993;valid_ORFs=1	LOC105741353	19901882	19913662	True
1120	41074	chrY	Liftoff	gene	21220797	21228128	.	-	.	ID=gene-LOC111814857;Dbxref=GeneID:111814857;Name=LOC111814857;origin=liftoff;copy_num_ID=gene-LOC111814857_0;coverage=0.668;end_range=26882,.;extra_copy_number=0;gbkey=Gene;gene=LOC111814857;gene_biotype=protein_coding;partial=true;sequence_ID=0.661;valid_ORFs=0	LOC111814857	21220796	21228128	True
1121	41084	chrY	Liftoff	gene	22255282	22257691	.	+	.	ID=gene-LOC111814806;Dbxref=GeneID:111814806;Name=LOC111814806;origin=liftoff;copy_num_ID=gene-LOC111814806_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111814806;gene_biotype=lncRNA;sequence_ID=0.993	LOC111814806	22255281	22257691	True
1122	41089	chrY	Liftoff	gene	27302037	27305745	.	+	.	ID=gene-LOC111814722;Dbxref=GeneID:111814722;Name=LOC111814722;origin=liftoff;copy_num_ID=gene-LOC111814722_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111814722;gene_biotype=lncRNA;sequence_ID=0.994	LOC111814722	27302036	27305745	True
