gene	tier	chrom	region_start	region_end	region_length	bases_covered	mean_depth	median_depth	sum_depth	min_depth	max_depth	std_depth	pct_zero	base_gene	num_copies	gene_length	Strand	source	is_paralog
39589at314147	BUSCO	chrX	1929027	1973253	44226	44226	16.884524940080496	17	746735.0	7	27	4.242175047193512	0.0						
LOC101572671	T4	chrX	1944931	1955569	10638	10638	19.351381838691484	19	205860.0	16	23	1.4298977269670534	0.0	LOC101572671	1.0	638.0	+	Liftoff	False
TEX28	T4	chrX	1958922	1973390	14468	14468	15.018661874481614	13	217290.0	6	25	4.997089015029494	0.0	TEX28	1.0	4468.0	+	Liftoff	False
OPN1MW	T4	chrX	1963484	1985313	21829	21829	9.137202803609878	8	199456.0	2	20	3.4977141387481545	0.0	OPN1MW	1.0	11829.0	-	Liftoff	False
23100at314147	BUSCO	chrX	1963582	1980359	16777	16777	9.582285271502652	9	160762.0	2	19	3.7280174084385918	0.0						
LOC111813734	T3	chrX	1992660	2017826	25166	25166	13.72737026146388	14	345463.0	7	19	2.347252815225986	0.0	LOC111813734	1.0	15166.0	-	Liftoff	False
MECP2	T4	chrX	2008041	2078876	70835	70835	14.781125149996472	15	1047021.0	7	22	3.261568373243598	0.0	MECP2	1.0	60835.0	+	Liftoff	False
LOC111813731	T4	chrX	2049778	2081723	31945	31945	14.0943183596807	14	450243.0	6	22	3.95440763764522	0.0	LOC111813731	1.0	21945.0	-	Liftoff	False
29524at314147	BUSCO	chrX	2065011	2077237	12226	12226	11.24366105022084	12	137465.0	7	14	1.867593528855448	0.0						
IRAK1	T4	chrX	2076690	2092207	15517	15517	8.177933878971452	8	126897.0	3	15	2.160203013908163	0.0	IRAK1	1.0	5517.0	+	Liftoff	False
11872at314147	BUSCO	chrX	2076741	2091407	14666	14666	7.872698759034502	8	115461.0	3	11	1.7674212937691012	0.0						
HCFC1	T4	chrX	2105425	2135047	29622	29622	10.116602525150226	10	299674.0	5	16	2.7502263573165533	0.0	HCFC1	1.0	19622.0	+	Liftoff	False
2116at314147	BUSCO	chrX	2111177	2133547	22370	22370	8.963030844881537	9	200503.0	5	15	1.9737484392892266	0.0						
RENBP	T4	chrX	2126295	2142084	15789	15789	14.153587940971562	15	223471.0	7	23	3.9855218792865736	0.0	RENBP	1.0	5789.0	+	Liftoff	False
20677at314147	BUSCO	chrX	2126513	2141955	15442	15442	14.167141561973837	15	218769.0	7	23	3.8806805952608334	0.0						
NAA10	T3	chrX	2132084	2146975	14891	14891	17.510845477133838	17	260754.0	9	26	2.900714165007815	0.0	NAA10	1.0	4891.0	+	Liftoff	False
34642at314147	BUSCO	chrX	2132823	2146474	13651	13651	17.896930627792834	17	244311.0	12	26	2.5512113435985446	0.0						
ARHGAP4	T4	chrX	2140843	2167445	26602	26602	12.809675964213216	11	340763.0	6	26	4.132155402488021	0.0	ARHGAP4	1.0	16602.0	+	Liftoff	False
10440at314147	BUSCO	chrX	2140880	2167270	26390	26390	12.811595301250474	11	338098.0	6	26	4.137350329231393	0.0						
AVPR2	T4	chrX	2157577	2170054	12477	12477	11.075338623066441	11	138187.0	8	15	1.5800405524341834	0.0	AVPR2	1.0	2477.0	-	Liftoff	False
26700at314147	BUSCO	chrX	2157767	2169724	11957	11957	11.010955925399347	11	131658.0	8	15	1.5606702490088646	0.0						
LOC101589772	T4	chrX	2163220	2173728	10508	10508	12.415968785687095	12	130467.0	8	15	1.3781839434182548	0.0	LOC101589772	1.0	508.0	-	Liftoff	False
L1CAM	T4	chrX	2168384	2200462	32078	32078	10.864580086040277	12	348514.0	2	15	3.0796305288065295	0.0	L1CAM	1.0	22078.0	+	Liftoff	False
2675at314147	BUSCO	chrX	2177174	2199547	22373	22373	10.0239574487105	10	224266.0	3	15	2.720384131494815	0.0						
PDZD4	T4	chrX	2205727	2237157	31430	31430	10.466687877823736	11	328968.0	4	17	3.2280518697729566	0.0	PDZD4	1.0	21430.0	+	Liftoff	False
10128at314147	BUSCO	chrX	2205861	2236271	30410	30410	10.585629727063466	11	321909.0	4	17	3.21425794441015	0.0						
SSR4	T4	chrX	2228388	2242283	13895	13895	9.152500899604174	8	127174.0	5	15	2.6355426320521613	0.0	SSR4	1.0	3895.0	-	Liftoff	False
40649at314147	BUSCO	chrX	2228498	2242068	13570	13570	9.123802505526898	8	123810.0	5	15	2.6103361773505642	0.0						
IDH3G	T4	chrX	2232372	2249477	17105	17105	7.966676410406314	8	136270.0	4	11	1.2131744303345355	0.0	IDH3G	1.0	7105.0	+	Liftoff	False
25069at314147	BUSCO	chrX	2235823	2249218	13395	13395	7.87525195968645	8	105489.0	4	11	1.1889922528877594	0.0						
SRPK3	T4	chrX	2238609	2253070	14461	14461	9.155106839084434	9	132392.0	4	16	2.3160652950643623	0.0	SRPK3	1.0	4461.0	-	Liftoff	False
16114at314147	BUSCO	chrX	2239495	2253091	13596	13596	9.251176816710798	9	125779.0	4	16	2.3708666075809433	0.0						
PLXNB3	T4	chrX	2244728	2267809	23081	23081	10.880551102638535	11	251134.0	6	16	1.9572538563071686	0.0	PLXNB3	1.0	13081.0	-	Liftoff	False
1196at314147	BUSCO	chrX	2244884	2265582	20698	20698	10.768141849454054	11	222879.0	6	16	1.9735950532768278	0.0						
ABCD1	T4	chrX	2264817	2290892	26075	26075	16.681879194630874	16	434980.0	8	28	3.9338937644927494	0.0	ABCD1	1.0	16075.0	-	Liftoff	False
9668at314147	BUSCO	chrX	2265703	2290504	24801	24801	16.810894721987015	16	416927.0	9	28	3.7216630727431372	0.0						
BCAP31	T4	chrX	2281250	2314882	33632	33632	13.095385347288296	11	440424.0	5	28	5.973936422777019	0.0	BCAP31	1.0	23632.0	+	Liftoff	False
39579at314147	BUSCO	chrX	2282420	2314564	32144	32144	13.01269288203086	11	418280.0	5	28	6.080237566564137	0.0						
SLC6A8	T4	chrX	2307150	2324340	17190	17190	9.191157649796393	9	157996.0	4	12	1.5751830454547602	0.0	SLC6A8	1.0	7190.0	-	Liftoff	False
12182at314147	BUSCO	chrX	2308327	2324208	15881	15881	9.329261381525093	10	148158.0	4	12	1.5180481752323858	0.0						
PNCK	T4	chrX	2330717	2344401	13684	13684	5.27667348728442	6	72206.0	1	9	2.6210048337576404	0.0	PNCK	1.0	3684.0	+	Liftoff	False
DUSP9	T4	chrX	2345120	2362417	17297	17297	7.797941839625368	8	134881.0	3	11	1.7318806804800206	0.0	DUSP9	1.0	7297.0	-	Liftoff	False
29410at314147	BUSCO	chrX	2346016	2357543	11527	11527	7.371475665828056	7	84971.0	3	10	1.2650530663859407	0.0						
CCNQ	T3	chrX	2384966	2411147	26181	26181	7.424850082120622	6	194390.0	1	15	3.460733658970498	0.0	CCNQ	2.0	16181.0	+	Liftoff	False
ATP2B3	T4	chrX	2403623	2462638	59015	59015	14.690671863085656	14	866970.0	3	26	5.226653410072933	0.0	ATP2B3	1.0	49015.0	-	Liftoff	False
3165at314147	BUSCO	chrX	2406178	2561763	155585	155585	12.052061574059197	12	1875120.0	2	26	4.824203515479302	0.0						
BGN	T4	chrX	2475784	2496632	20848	20848	7.3156178050652345	7	152516.0	2	12	2.865620731673161	0.0	BGN	1.0	10848.0	-	Liftoff	False
22726at314147	BUSCO	chrX	2476332	2490052	13720	13720	5.616909620991254	5	77064.0	2	10	1.8649849530796645	0.0						
HAUS7	T4	chrX	2489380	2536680	47300	47300	12.174270613107822	12	575843.0	4	19	3.530856095053696	0.0	HAUS7	1.0	37300.0	+	Liftoff	False
24958at314147	BUSCO	chrX	2507836	2536657	28821	28821	13.456611498560077	15	387833.0	4	19	3.8037588886211355	0.0						
TREX2	T4	chrX	2527736	2539483	11747	11747	12.8820124287052	14	151325.0	6	18	3.0685878368316057	0.0	TREX2	1.0	1747.0	+	Liftoff	False
33373at314147	BUSCO	chrX	2528515	2539224	10709	10709	12.716873657671117	14	136185.0	6	18	2.931367972997269	0.0						
ZFP92	T4	chrX	2541035	2559808	18773	18773	9.3107121930432	9	174790.0	2	15	2.83293044409499	0.0	ZFP92	1.0	8773.0	-	Liftoff	False
PNMA6F	T3	chrX	2562581	2575572	12991	12991	9.949349549688245	9	129252.0	5	15	2.5124839867189164	0.0	PNMA6F	1.0	2991.0	+	Liftoff	False
ZNF275	T4	chrX	2625174	2651891	26717	26717	14.246285136804282	14	380618.0	10	17	1.1375682842015438	0.0	ZNF275	1.0	16717.0	-	Liftoff	False
PWWP4	T3	chrX	2717201	2730222	13021	13021	17.37378081560556	17	226224.0	13	30	2.8762966846472704	0.0	PWWP4	1.0	3021.0	-	Liftoff	False
PNMA5	T3	chrX	2787000	2798320	11320	11320	9.532067137809188	9	107903.0	5	16	2.76596489577865	0.0	PNMA5	2.0	1320.0	+	Liftoff	False
DCAF12L2-L1	T1	chrX	2814932	2826387	11455	11455	13.502138804015713	13	154667.0	7	17	2.0022618724302808	0.0	DCAF12L2	2.0	1455.0	-	Liftoff	True
PNMA5-L1	T2	chrX	2853298	2864524	11226	11226	13.202298236237306	14	148209.0	6	17	3.1637643742279233	0.0	PNMA5	2.0	1226.0	+	Liftoff	True
ZNF185	T3	chrX	2858541	2922896	64355	64355	15.093869940175589	14	971366.0	6	25	4.123506845478338	0.0	ZNF185	1.0	54355.0	-	Liftoff	False
21144at314147	BUSCO	chrX	2861253	2913148	51895	51895	15.503246940938434	15	804541.0	6	25	4.43711279944499	0.0						
NSDHL	T3	chrX	2937164	2971077	33913	33913	15.205938725562469	15	515679.0	8	21	2.4346361751280177	0.0	NSDHL	1.0	23913.0	-	Liftoff	False
25649at314147	BUSCO	chrX	2938108	2963289	25181	25181	15.480560740240657	15	389816.0	8	21	2.5991611254686444	0.0						
CETN2	T4	chrX	2961250	2975541	14291	14291	15.076131831222447	14	215453.0	8	21	2.0791350035194553	0.0	CETN2	1.0	4291.0	+	Liftoff	False
LOC101577539	T3	chrX	3010932	3022538	11606	11606	19.120024125452353	20	221907.0	13	23	1.8993683340383924	0.0	LOC101577539	1.0	1606.0	-	Liftoff	False
GABRQ	T4	chrX	3030910	3055667	24757	24757	15.139273740760189	15	374803.0	9	19	1.952021603451794	0.0	GABRQ	1.0	14757.0	-	Liftoff	False
15867at314147	BUSCO	chrX	3030912	3055667	24755	24755	15.13920420117148	15	374771.0	9	19	1.9520851233832162	0.0						
GABRA3	T3	chrX	3260893	3548337	287444	287444	18.715739413590125	19	5379727.0	7	30	4.144617173879582	0.0	GABRA3	1.0	277444.0	+	Liftoff	False
16561at314147	BUSCO	chrX	3341046	3546821	205775	205775	18.8228550601385	19	3873273.0	7	29	3.9803604316807806	0.0						
MAGEA10	T3	chrX	3590061	3600832	10771	10771	10.699842168786557	10	115248.0	8	13	1.04918454179311	0.0	MAGEA10	12.0	771.0	+	Liftoff	False
MAGEA10-L1	T1	chrX	3629069	3640155	11086	11086	18.51172650189428	15	205221.0	9	29	6.128943818652492	0.0	MAGEA10	12.0	1086.0	+	Liftoff	True
GABRE	T4	chrX	3772818	3800928	28110	28110	14.978868729989328	15	421056.0	9	19	1.620939203017659	0.0	GABRE	1.0	18110.0	+	Liftoff	False
18736at314147	BUSCO	chrX	3776821	3799550	22729	22729	14.631000043996655	14	332548.0	9	18	1.4567880403991664	0.0						
MAGEA10-L2	T2	chrX	3838457	3849472	11015	11015	15.266454834316841	14	168160.0	6	24	4.547474445964777	0.0	MAGEA10	12.0	1015.0	-	Liftoff	True
CNGA2	T4	chrX	4051698	4067416	15718	15718	12.375620307927218	12	194520.0	8	15	1.2216589324645786	0.0	CNGA2	1.0	5718.0	-	Liftoff	False
10769at314147	BUSCO	chrX	4051700	4067416	15716	15716	12.375413591244591	12	194492.0	8	15	1.2215992164738636	0.0						
FATE1	T4	chrX	4068639	4081538	12899	12899	13.295991937359485	12	171505.0	9	19	2.62416895735293	0.0	FATE1	1.0	2899.0	-	Liftoff	False
PRRG3	T4	chrX	4090533	4110232	19699	19699	16.08198385704858	16	316799.0	10	21	2.038945101094871	0.0	PRRG3	1.0	9699.0	-	Liftoff	False
PASD1	T3	chrX	4132859	4255143	122284	122284	17.871160577017434	18	2185357.0	8	26	3.6896785991044845	0.0	PASD1	1.0	112284.0	-	Liftoff	False
MAGEA10-L3	T1	chrX	4280741	4291482	10741	10741	18.61716786146541	19	199967.0	13	21	1.3398351398122328	0.0	MAGEA10	12.0	741.0	+	Liftoff	True
VMA21	T3	chrX	4448945	4493240	44295	44295	19.252963088384693	19	852810.0	12	25	2.463599081290779	0.0	VMA21	1.0	34295.0	-	Liftoff	False
GPR50	T4	chrX	4643458	4657895	14437	14437	14.41539100921244	15	208115.0	9	17	1.2107064382007655	0.0	GPR50	1.0	4437.0	-	Liftoff	False
14378at314147	BUSCO	chrX	4643460	4657877	14417	14417	14.414371922036485	15	207812.0	9	17	1.210991662739417	0.0						
HMGB3	T3	chrX	4673542	4738854	65312	65312	17.328209211170993	17	1131740.0	9	26	3.292909428007659	0.0	HMGB3	2.0	55312.0	-	Liftoff	False
CD99L2	T4	chrX	4775751	4859067	83316	83316	14.843595467857314	16	1236709.0	0	24	4.781294987041107	0.1200249651927601	CD99L2	1.0	73316.0	+	Liftoff	False
42319at314147	BUSCO	chrX	4775799	4853800	78001	78001	14.731952154459558	15	1149107.0	0	24	4.918118604938417	0.12820348457071062						
MTMR1	T3	chrX	4847813	4944582	96769	96769	19.472754704502474	19	1884359.0	5	32	4.861706434906505	0.0	MTMR1	1.0	86769.0	-	Liftoff	False
9683at314147	BUSCO	chrX	4849499	4944647	95148	95148	19.521986799512337	19	1857478.0	5	32	4.887633629527039	0.0						
MTM1	T4	chrX	4949750	5104979	155229	155229	17.117407185513017	16	2657118.0	6	30	3.5391878367323657	0.0	MTM1	1.0	145229.0	-	Liftoff	False
11611at314147	BUSCO	chrX	4951765	5078462	126697	126697	16.53762914670434	16	2095268.0	9	25	2.4204150600479104	0.0						
MAMLD1	T3	chrX	5151770	5273024	121254	121254	13.122775331123098	13	1591189.0	3	22	4.146045672752532	0.0	MAMLD1	1.0	111254.0	-	Liftoff	False
LOC111813974	T4	chrX	5368371	5378478	10107	10107	13.268526763629168	14	134105.0	8	17	2.5141376913779205	0.0	LOC111813974	1.0	107.0	-	Liftoff	False
LOC111813975	T4	chrX	5664927	5675056	10129	10129	20.39994076414256	20	206631.0	16	25	1.6705340974205298	0.0	LOC111813975	1.0	129.0	+	Liftoff	False
LOC111814915	T3	chrX	5690905	5704815	13910	13910	22.540690150970526	24	313541.0	11	29	4.720867523866466	0.0	LOC111814915	1.0	3910.0	+	Liftoff	False
41537at314147	BUSCO	chrX	5694782	5713886	19104	19104	21.05778894472362	22	402288.0	10	29	5.0381615357834875	0.0						
LOC101590055	T3	chrX	5710614	5721631	11017	11017	15.426522646818553	15	169954.0	9	21	1.7757243268735052	0.0	LOC101590055	1.0	1017.0	-	Liftoff	False
TMEM185A	T4	chrX	5730095	5782113	52018	52018	15.028047983390366	15	781729.0	10	23	2.178922719515643	0.0	TMEM185A	1.0	42018.0	-	Liftoff	False
LOC111813971	T4	chrX	5772232	5783950	11718	11718	16.646014678272742	16	195058.0	10	23	3.791858816279603	0.0	LOC111813971	1.0	1718.0	+	Liftoff	False
LOC111813973	T4	chrX	5819457	5841910	22453	22453	16.942190353182202	17	380403.0	12	21	1.59823538562282	0.0	LOC111813973	1.0	12453.0	+	Liftoff	False
MAGEB16-L1	T2	chrX	5862223	5872985	10762	10762	12.255621631666976	12	131895.0	8	15	1.9427263189144677	0.0	MAGEB16	2.0	762.0	-	Liftoff	True
MAGEA4	T3	chrX	6922809	6933817	11008	11008	27.615643168604652	27	303993.0	19	33	1.8431102616568502	0.0	MAGEA4	5.0	1008.0	+	Liftoff	False
MAGEA10-L4	T2	chrX	7029314	7040136	10822	10822	15.940399186841619	16	172507.0	13	18	0.9762735771974953	0.0	MAGEA10	12.0	822.0	+	Liftoff	True
LOC101581620	T3	chrX	7149239	7160181	10942	10942	20.02723450923049	18	219138.0	14	29	4.776200328061551	0.0	LOC101581620	1.0	942.0	+	Liftoff	False
MAGEA11-L1	T2	chrX	7153653	7164415	10762	10762	23.824103326519236	26	256395.0	14	29	4.207651674566959	0.0	MAGEA11	6.0	762.0	-	Liftoff	True
MAGEA10-L5	T2	chrX	7252103	7262862	10759	10759	20.98726647457942	21	225802.0	15	28	2.436120502596515	0.0	MAGEA10	12.0	759.0	-	Liftoff	True
MAGEA4-L1	T2	chrX	7314875	7325832	10957	10957	15.874418180158802	15	173936.0	11	23	2.8681468338394946	0.0	MAGEA4	5.0	957.0	-	Liftoff	True
MAGEA10-L6	T2	chrX	7418359	7429118	10759	10759	26.191467608513804	26	281794.0	20	31	2.0049566037781803	0.0	MAGEA10	12.0	759.0	+	Liftoff	True
MAGEA4-L2	T2	chrX	7472648	7483488	10840	10840	18.83440959409594	19	204165.0	9	27	4.070592099298912	0.0	MAGEA4	5.0	840.0	-	Liftoff	True
MAGEA11-L2	T2	chrX	7562045	7572909	10864	10864	20.672128129602356	21	224582.0	15	25	2.3126429501978376	0.0	MAGEA11	6.0	864.0	-	Liftoff	True
MAGEA4-L3	T2	chrX	7625751	7636615	10864	10864	21.218519882179677	22	230518.0	16	25	1.9630523527754484	0.0	MAGEA4	5.0	864.0	-	Liftoff	True
MAGEA4-L4	T2	chrX	7657455	7668472	11017	11017	14.324226195879096	15	157810.0	10	18	1.6343598908225268	0.0	MAGEA4	5.0	1017.0	-	Liftoff	True
MAGEB16	T3	chrX	7718440	7729202	10762	10762	13.310258316298086	13	143245.0	7	17	1.7054807276387587	0.0	MAGEB16	2.0	762.0	+	Liftoff	False
LOC101576844	T3	chrX	7792986	7803700	10714	10714	22.675471345902558	22	242945.0	14	27	2.5176734616102485	0.0	LOC101576844	1.0	714.0	-	Liftoff	False
