gene	base_gene	Chromosome	gene_start_bed	gene_end_bed	region_start	region_end	region_length	gene_length	tier	is_paralog	num_copies	overlaps_dup	Strand	source
TAZ	TAZ	chrX	1808052	1816490	1803052	1821490	18438	8438	T4	False	1	False	-	Liftoff
DNASE1L1	DNASE1L1	chrX	1819437	1829455	1814437	1834455	20018	10018	T3	False	1	True	+	Liftoff
RPL10	RPL10	chrX	1829015	1831987	1824015	1836987	12972	2972	T3	False	7	True	-	Liftoff
LOC111813742	LOC111813742	chrX	1829547	1829681	1824547	1834681	10134	134	T3	False	1	True	-	Liftoff
LOC111813739	LOC111813739	chrX	1843129	1843270	1838129	1848270	10141	141	T4	False	1	False	-	Liftoff
EMD	EMD	chrX	1843703	1846301	1838703	1851301	12598	2598	T4	False	1	False	-	Liftoff
FLNA	FLNA	chrX	1850758	1874204	1845758	1879204	33446	23446	T4	False	1	False	+	Liftoff
TKTL1	TKTL1	chrX	1891031	1913135	1886031	1918135	32104	22104	T4	False	1	False	-	Liftoff
LOC101572671	LOC101572671	chrX	1949931	1950569	1944931	1955569	10638	638	T4	False	1	False	+	Liftoff
TEX28	TEX28	chrX	1963922	1968390	1958922	1973390	14468	4468	T4	False	1	False	+	Liftoff
OPN1MW	OPN1MW	chrX	1968484	1980313	1963484	1985313	21829	11829	T4	False	1	False	-	Liftoff
LOC111813734	LOC111813734	chrX	1997660	2012826	1992660	2017826	25166	15166	T3	False	1	True	-	Liftoff
MECP2	MECP2	chrX	2013041	2073876	2008041	2078876	70835	60835	T4	False	1	False	+	Liftoff
LOC111813731	LOC111813731	chrX	2054778	2076723	2049778	2081723	31945	21945	T4	False	1	False	-	Liftoff
IRAK1	IRAK1	chrX	2081690	2087207	2076690	2092207	15517	5517	T4	False	1	False	+	Liftoff
HCFC1	HCFC1	chrX	2110425	2130047	2105425	2135047	29622	19622	T4	False	1	False	+	Liftoff
RENBP	RENBP	chrX	2131295	2137084	2126295	2142084	15789	5789	T4	False	1	False	+	Liftoff
NAA10	NAA10	chrX	2137084	2141975	2132084	2146975	14891	4891	T3	False	1	True	+	Liftoff
ARHGAP4	ARHGAP4	chrX	2145843	2162445	2140843	2167445	26602	16602	T4	False	1	False	+	Liftoff
AVPR2	AVPR2	chrX	2162577	2165054	2157577	2170054	12477	2477	T4	False	1	False	-	Liftoff
LOC101589772	LOC101589772	chrX	2168220	2168728	2163220	2173728	10508	508	T4	False	1	False	-	Liftoff
L1CAM	L1CAM	chrX	2173384	2195462	2168384	2200462	32078	22078	T4	False	1	False	+	Liftoff
PDZD4	PDZD4	chrX	2210727	2232157	2205727	2237157	31430	21430	T4	False	1	False	+	Liftoff
SSR4	SSR4	chrX	2233388	2237283	2228388	2242283	13895	3895	T4	False	1	False	-	Liftoff
IDH3G	IDH3G	chrX	2237372	2244477	2232372	2249477	17105	7105	T4	False	1	False	+	Liftoff
SRPK3	SRPK3	chrX	2243609	2248070	2238609	2253070	14461	4461	T4	False	1	False	-	Liftoff
PLXNB3	PLXNB3	chrX	2249728	2262809	2244728	2267809	23081	13081	T4	False	1	False	-	Liftoff
ABCD1	ABCD1	chrX	2269817	2285892	2264817	2290892	26075	16075	T4	False	1	False	-	Liftoff
BCAP31	BCAP31	chrX	2286250	2309882	2281250	2314882	33632	23632	T4	False	1	False	+	Liftoff
SLC6A8	SLC6A8	chrX	2312150	2319340	2307150	2324340	17190	7190	T4	False	1	False	-	Liftoff
PNCK	PNCK	chrX	2335717	2339401	2330717	2344401	13684	3684	T4	False	1	False	+	Liftoff
DUSP9	DUSP9	chrX	2350120	2357417	2345120	2362417	17297	7297	T4	False	1	False	-	Liftoff
CCNQ	CCNQ	chrX	2389966	2406147	2384966	2411147	26181	16181	T3	False	2	True	+	Liftoff
ATP2B3	ATP2B3	chrX	2408623	2457638	2403623	2462638	59015	49015	T4	False	1	False	-	Liftoff
BGN	BGN	chrX	2480784	2491632	2475784	2496632	20848	10848	T4	False	1	False	-	Liftoff
HAUS7	HAUS7	chrX	2494380	2531680	2489380	2536680	47300	37300	T4	False	1	False	+	Liftoff
TREX2	TREX2	chrX	2532736	2534483	2527736	2539483	11747	1747	T4	False	1	False	+	Liftoff
ZFP92	ZFP92	chrX	2546035	2554808	2541035	2559808	18773	8773	T4	False	1	False	-	Liftoff
PNMA6F	PNMA6F	chrX	2567581	2570572	2562581	2575572	12991	2991	T3	False	1	True	+	Liftoff
ZNF275	ZNF275	chrX	2630174	2646891	2625174	2651891	26717	16717	T4	False	1	False	-	Liftoff
PWWP4	PWWP4	chrX	2722201	2725222	2717201	2730222	13021	3021	T3	False	1	True	-	Liftoff
PNMA5	PNMA5	chrX	2792000	2793320	2787000	2798320	11320	1320	T3	False	2	True	+	Liftoff
DCAF12L2-L1	DCAF12L2	chrX	2819932	2821387	2814932	2826387	11455	1455	T1	True	2	False	-	Liftoff
PNMA5-L1	PNMA5	chrX	2858298	2859524	2853298	2864524	11226	1226	T2	True	2	True	+	Liftoff
ZNF185	ZNF185	chrX	2863541	2917896	2858541	2922896	64355	54355	T3	False	1	True	-	Liftoff
NSDHL	NSDHL	chrX	2942164	2966077	2937164	2971077	33913	23913	T3	False	1	True	-	Liftoff
CETN2	CETN2	chrX	2966250	2970541	2961250	2975541	14291	4291	T4	False	1	False	+	Liftoff
LOC101577539	LOC101577539	chrX	3015932	3017538	3010932	3022538	11606	1606	T3	False	1	True	-	Liftoff
GABRQ	GABRQ	chrX	3035910	3050667	3030910	3055667	24757	14757	T4	False	1	False	-	Liftoff
GABRA3	GABRA3	chrX	3265893	3543337	3260893	3548337	287444	277444	T3	False	1	True	+	Liftoff
MAGEA10	MAGEA10	chrX	3595061	3595832	3590061	3600832	10771	771	T3	False	12	True	+	Liftoff
MAGEA10-L1	MAGEA10	chrX	3634069	3635155	3629069	3640155	11086	1086	T1	True	12	False	+	Liftoff
GABRE	GABRE	chrX	3777818	3795928	3772818	3800928	28110	18110	T4	False	1	False	+	Liftoff
MAGEA10-L2	MAGEA10	chrX	3843457	3844472	3838457	3849472	11015	1015	T2	True	12	True	-	Liftoff
CNGA2	CNGA2	chrX	4056698	4062416	4051698	4067416	15718	5718	T4	False	1	False	-	Liftoff
FATE1	FATE1	chrX	4073639	4076538	4068639	4081538	12899	2899	T4	False	1	False	-	Liftoff
PRRG3	PRRG3	chrX	4095533	4105232	4090533	4110232	19699	9699	T4	False	1	False	-	Liftoff
PASD1	PASD1	chrX	4137859	4250143	4132859	4255143	122284	112284	T3	False	1	True	-	Liftoff
MAGEA10-L3	MAGEA10	chrX	4285741	4286482	4280741	4291482	10741	741	T1	True	12	False	+	Liftoff
VMA21	VMA21	chrX	4453945	4488240	4448945	4493240	44295	34295	T3	False	1	True	-	Liftoff
GPR50	GPR50	chrX	4648458	4652895	4643458	4657895	14437	4437	T4	False	1	False	-	Liftoff
HMGB3	HMGB3	chrX	4678542	4733854	4673542	4738854	65312	55312	T3	False	2	True	-	Liftoff
CD99L2	CD99L2	chrX	4780751	4854067	4775751	4859067	83316	73316	T4	False	1	False	+	Liftoff
MTMR1	MTMR1	chrX	4852813	4939582	4847813	4944582	96769	86769	T3	False	1	True	-	Liftoff
MTM1	MTM1	chrX	4954750	5099979	4949750	5104979	155229	145229	T4	False	1	False	-	Liftoff
MAMLD1	MAMLD1	chrX	5156770	5268024	5151770	5273024	121254	111254	T3	False	1	True	-	Liftoff
LOC111813974	LOC111813974	chrX	5373371	5373478	5368371	5378478	10107	107	T4	False	1	False	-	Liftoff
LOC111813975	LOC111813975	chrX	5669927	5670056	5664927	5675056	10129	129	T4	False	1	False	+	Liftoff
LOC111814915	LOC111814915	chrX	5695905	5699815	5690905	5704815	13910	3910	T3	False	1	True	+	Liftoff
LOC101590055	LOC101590055	chrX	5715614	5716631	5710614	5721631	11017	1017	T3	False	1	True	-	Liftoff
TMEM185A	TMEM185A	chrX	5735095	5777113	5730095	5782113	52018	42018	T4	False	1	False	-	Liftoff
LOC111813971	LOC111813971	chrX	5777232	5778950	5772232	5783950	11718	1718	T4	False	1	False	+	Liftoff
LOC111813973	LOC111813973	chrX	5824457	5836910	5819457	5841910	22453	12453	T4	False	1	False	+	Liftoff
MAGEB16-L1	MAGEB16	chrX	5867223	5867985	5862223	5872985	10762	762	T2	True	2	True	-	Liftoff
MAGEA4	MAGEA4	chrX	6927809	6928817	6922809	6933817	11008	1008	T3	False	5	True	+	Liftoff
MAGEA10-L4	MAGEA10	chrX	7034314	7035136	7029314	7040136	10822	822	T2	True	12	True	+	Liftoff
LOC101581620	LOC101581620	chrX	7154239	7155181	7149239	7160181	10942	942	T3	False	1	True	+	Liftoff
MAGEA11-L1	MAGEA11	chrX	7158653	7159415	7153653	7164415	10762	762	T2	True	6	True	-	Liftoff
MAGEA10-L5	MAGEA10	chrX	7257103	7257862	7252103	7262862	10759	759	T2	True	12	True	-	Liftoff
MAGEA4-L1	MAGEA4	chrX	7319875	7320832	7314875	7325832	10957	957	T2	True	5	True	-	Liftoff
MAGEA10-L6	MAGEA10	chrX	7423359	7424118	7418359	7429118	10759	759	T2	True	12	True	+	Liftoff
MAGEA4-L2	MAGEA4	chrX	7477648	7478488	7472648	7483488	10840	840	T2	True	5	True	-	Liftoff
MAGEA11-L2	MAGEA11	chrX	7567045	7567909	7562045	7572909	10864	864	T2	True	6	True	-	Liftoff
MAGEA4-L3	MAGEA4	chrX	7630751	7631615	7625751	7636615	10864	864	T2	True	5	True	-	Liftoff
MAGEA4-L4	MAGEA4	chrX	7662455	7663472	7657455	7668472	11017	1017	T2	True	5	True	-	Liftoff
MAGEB16	MAGEB16	chrX	7723440	7724202	7718440	7729202	10762	762	T3	False	2	True	+	Liftoff
LOC101576844	LOC101576844	chrX	7797986	7798700	7792986	7803700	10714	714	T3	False	1	True	-	Liftoff
MAGEA10-L7	MAGEA10	chrX	7900602	7901349	7895602	7906349	10747	747	T1	True	12	False	+	Liftoff
MAGEA10-DL1	MAGEA10	chrX	8050411	8052067	8045411	8057067	11656	1656	T2	True	12	True	+	AUGUSTUS
MAGEA8	MAGEA8	chrX	8088262	8089024	8083262	8094024	10762	762	T4	False	1	False	+	Liftoff
MAGEA11	MAGEA11	chrX	8186676	8187423	8181676	8192423	10747	747	T3	False	6	True	+	Liftoff
MAGEA11-L3	MAGEA11	chrX	8274551	8275571	8269551	8280571	11020	1020	T1	True	6	False	+	Liftoff
LOC101574869	LOC101574869	chrX	8393154	8393900	8388154	8398900	10746	746	T4	False	1	False	+	Liftoff
LOC101574461	LOC101574461	chrX	8435974	8444523	8430974	8449523	18549	8549	T3	False	1	True	+	Liftoff
MAGEA10-L8	MAGEA10	chrX	8527991	8528756	8522991	8533756	10765	765	T2	True	12	True	+	Liftoff
MAGEA11-L4	MAGEA11	chrX	8554016	8554973	8549016	8559973	10957	957	T2	True	6	True	+	Liftoff
MAGEA11-L5	MAGEA11	chrX	8573189	8573933	8568189	8578933	10744	744	T1	True	6	False	+	Liftoff
LOC111814986	LOC111814986	chrX	8590352	8590992	8585352	8595992	10640	640	T3	False	1	True	+	Liftoff
LOC111814916	LOC111814916	chrX	8592730	8595091	8587730	8600091	12361	2361	T3	False	1	True	+	Liftoff
IDS	IDS	chrX	8620837	8651016	8615837	8656016	40179	30179	T3	False	1	True	+	Liftoff
AFF2	AFF2	chrX	9082854	9628185	9077854	9633185	555331	545331	T3	False	1	True	-	Liftoff
LOC111813311	LOC111813311	chrX	9714094	9714217	9709094	9719217	10123	123	T4	False	1	False	-	Liftoff
FMR1	FMR1	chrX	10134567	10163230	10129567	10168230	38663	28663	T4	False	1	False	-	Liftoff
ELL2-L1	ELL2	chrX	12026972	12056056	12021972	12061056	39084	29084	T2	True	2	True	-	Liftoff
LOC111814175	LOC111814175	chrX	12138476	12138578	12133476	12143578	10102	102	T3	False	1	True	+	Liftoff
EEF2-DL5	EEF2	chrX	12758045	12760517	12753045	12765517	12472	2472	T2	True	7	True	+	AUGUSTUS
LOC111814176	LOC111814176	chrX	12889677	12889783	12884677	12894783	10106	106	T4	False	1	False	-	Liftoff
SLITRK2	SLITRK2	chrX	13415713	13421611	13410713	13426611	15898	5898	T4	False	1	False	-	Liftoff
LOC105741293	LOC105741293	chrX	14503867	14504712	14498867	14509712	10845	845	T3	False	1	True	-	Liftoff
MAGEB4	MAGEB4	chrX	15539892	15540936	15534892	15545936	11044	1044	T4	False	6	False	+	Liftoff
SLITRK4	SLITRK4	chrX	17119112	17131728	17114112	17136728	22616	12616	T4	False	1	False	+	Liftoff
LOC111813932	LOC111813932	chrX	17469943	17470051	17464943	17475051	10108	108	T4	False	1	False	-	Liftoff
MAGEA10-L9	MAGEA10	chrX	19021102	19024768	19016102	19029768	13666	3666	T1	True	12	False	+	Liftoff
LOC111814401	LOC111814401	chrX	19306580	19315190	19301580	19320190	18610	8610	T4	False	1	False	-	Liftoff
PLRG1-DL1	PLRG1	chrX	19323545	19325362	19318545	19330362	11817	1817	T2	True	2	True	-	AUGUSTUS
LDOC1	LDOC1	chrX	19813562	19814950	19808562	19819950	11388	1388	T4	False	1	False	-	Liftoff
MAGEA10-L10	MAGEA10	chrX	20226845	20227901	20221845	20232901	11056	1056	T1	True	12	False	-	Liftoff
LOC101582099	LOC101582099	chrX	20302408	20303218	20297408	20308218	10810	810	T3	False	1	True	+	Liftoff
CDR1	CDR1	chrX	20372077	20373975	20367077	20378975	11898	1898	T4	False	1	False	+	Liftoff
LOC111812060	LOC111812060	chrX	20557917	20558024	20552917	20563024	10107	107	T4	False	1	False	-	Liftoff
TRAPPC1-DL1	TRAPPC1	chrX	20698730	20699060	20693730	20704060	10330	330	T1	True	2	False	-	AUGUSTUS
SOX3	SOX3	chrX	20809131	20811009	20804131	20816009	11878	1878	T4	False	1	False	+	Liftoff
LOC111815319	LOC111815319	chrX	20850087	20850194	20845087	20855194	10107	107	T4	False	1	False	+	Liftoff
TPX2-L2	TPX2	chrX	20892656	20896693	20887656	20901693	14037	4037	T2	True	3	True	+	Liftoff
HAPSTR2	HAPSTR2	chrX	21340538	21341789	21335538	21346789	11251	1251	T4	False	1	False	-	Liftoff
ATP11C	ATP11C	chrX	21514189	21751448	21509189	21756448	247259	237259	T4	False	1	False	+	Liftoff
MCF2	MCF2	chrX	21879166	21939973	21874166	21944973	70807	60807	T4	False	1	False	+	AUGUSTUS
F9	F9	chrX	22007952	22056680	22002952	22061680	58728	48728	T4	False	1	False	-	Liftoff
LOC111812051	LOC111812051	chrX	22058343	22058506	22053343	22063506	10163	163	T4	False	1	False	-	Liftoff
FGF13	FGF13	chrX	22547339	23195358	22542339	23200358	658019	648019	T3	False	1	True	+	Liftoff
LOC111812042	LOC111812042	chrX	22809549	22809656	22804549	22814656	10107	107	T4	False	1	False	-	Liftoff
FTH1-DL6	FTH1	chrX	23387182	23387731	23382182	23392731	10549	549	T2	True	9	True	-	AUGUSTUS
LOC101587219	LOC101587219	chrX	23395267	23396292	23390267	23401292	11025	1025	T4	False	1	False	-	Liftoff
LOC111812045	LOC111812045	chrX	23931179	23931286	23926179	23936286	10107	107	T4	False	1	False	+	Liftoff
LOC101589185	LOC101589185	chrX	24617914	24623187	24612914	24628187	15273	5273	T3	False	1	True	-	Liftoff
ZIC3	ZIC3	chrX	24688941	24700176	24683941	24705176	21235	11235	T4	False	1	False	-	Liftoff
LOC111812049	LOC111812049	chrX	24729901	24730005	24724901	24735005	10104	104	T4	False	1	False	-	Liftoff
GPR101	GPR101	chrX	25545266	25546751	25540266	25551751	11485	1485	T4	False	1	False	+	Liftoff
LOC111812059	LOC111812059	chrX	25632756	25632894	25627756	25637894	10138	138	T4	False	1	False	-	Liftoff
LOC111812055	LOC111812055	chrX	25702582	25702708	25697582	25707708	10126	126	T4	False	1	False	+	Liftoff
LOC111812041	LOC111812041	chrX	25756783	25756890	25751783	25761890	10107	107	T4	False	1	False	-	Liftoff
RBMX	RBMX	chrX	25804047	25810577	25799047	25815577	16530	6530	T3	False	2	True	+	AUGUSTUS
LOC111812054	LOC111812054	chrX	25804204	25804276	25799204	25809276	10072	72	T3	False	1	True	+	Liftoff
FKBP3-DL6	FKBP3	chrX	25813337	25818126	25808337	25823126	14789	4789	T2	True	7	True	-	AUGUSTUS
RPS23-DL7	RPS23	chrX	25955513	25958822	25950513	25963822	13309	3309	T1	True	8	False	+	AUGUSTUS
ARHGEF6	ARHGEF6	chrX	25960248	26107652	25955248	26112652	157404	147404	T3	False	1	True	+	Liftoff
CD40LG	CD40LG	chrX	26114290	26127951	26109290	26132951	23661	13661	T4	False	1	False	-	Liftoff
VGLL1	VGLL1	chrX	26297582	26309723	26292582	26314723	22141	12141	T4	False	1	False	-	Liftoff
HTATSF1	HTATSF1	chrX	26333952	26351744	26328952	26356744	27792	17792	T3	False	1	True	-	Liftoff
BRS3	BRS3	chrX	26358151	26362407	26353151	26367407	14256	4256	T4	False	1	False	-	Liftoff
ADGRG4	ADGRG4	chrX	26469262	26608616	26464262	26613616	149354	139354	T3	False	1	True	-	Liftoff
MAP7D3	MAP7D3	chrX	26651736	26687705	26646736	26692705	45969	35969	T3	False	1	True	+	Liftoff
FHL1	FHL1	chrX	26691609	26748370	26686609	26753370	66761	56761	T3	False	1	True	-	Liftoff
SLC9A6	SLC9A6	chrX	26875969	26939318	26870969	26944318	73349	63349	T4	False	1	False	-	Liftoff
MMGT1	MMGT1	chrX	26948732	26960258	26943732	26965258	21526	11526	T4	False	2	False	+	Liftoff
INTS6L	INTS6L	chrX	27063487	27123001	27058487	27128001	69514	59514	T4	False	1	False	-	Liftoff
ZNF449	ZNF449	chrX	27304097	27320736	27299097	27325736	26639	16639	T4	False	1	False	-	Liftoff
LOC101559949	LOC101559949	chrX	27480962	27489661	27475962	27494661	18699	8699	T3	False	1	True	-	Liftoff
RTL8C	RTL8C	chrX	27607255	27608806	27602255	27613806	11551	1551	T3	False	2	True	+	Liftoff
RTL8C-DL1	RTL8C	chrX	27624271	27625881	27619271	27630881	11610	1610	T2	True	2	True	-	AUGUSTUS
LOC101566430	LOC101566430	chrX	28322083	28325472	28317083	28330472	13389	3389	T3	False	1	True	-	Liftoff
LOC101568284	LOC101568284	chrX	28836740	28837557	28831740	28842557	10817	817	T3	False	1	True	+	Liftoff
LAGE3-DL1	LAGE3	chrX	30072098	30073232	30067098	30078232	11134	1134	T2	True	3	True	-	AUGUSTUS
MOSPD1	MOSPD1	chrX	30161339	30187519	30156339	30192519	36180	26180	T3	False	1	True	+	Liftoff
FAM122B	FAM122B	chrX	30288231	30314180	30283231	30319180	35949	25949	T3	False	1	True	+	Liftoff
PLAC1	PLAC1	chrX	30544700	30545300	30539700	30550300	10600	600	T4	False	1	False	+	Liftoff
HPRT1	HPRT1	chrX	30594080	30643656	30589080	30648656	59576	49576	T3	False	6	True	-	Liftoff
PHF6	PHF6	chrX	30655663	30728996	30650663	30733996	83333	73333	T3	False	1	True	-	Liftoff
LOC111817601	LOC111817601	chrX	30693077	30693203	30688077	30698203	10126	126	T4	False	1	False	-	Liftoff
CCDC160	CCDC160	chrX	30898454	30910859	30893454	30915859	22405	12405	T4	False	1	False	-	Liftoff
PFDN5-DL4	PFDN5	chrX	31022114	31022579	31017114	31027579	10465	465	T2	True	5	True	-	AUGUSTUS
GPC3	GPC3	chrX	31201978	31709090	31196978	31714090	517112	507112	T3	False	1	True	+	Liftoff
GPC4	GPC4	chrX	31858384	31979727	31853384	31984727	131343	121343	T4	False	1	False	+	Liftoff
USP26	USP26	chrX	32272684	32275441	32267684	32280441	12757	2757	T4	False	1	False	+	Liftoff
LOC111817597	LOC111817597	chrX	32297801	32297908	32292801	32302908	10107	107	T4	False	1	False	+	Liftoff
HS6ST2	HS6ST2	chrX	32345508	32685002	32340508	32690002	349494	339494	T4	False	1	False	+	Liftoff
MBNL3	MBNL3	chrX	32903879	33025139	32898879	33030139	131260	121260	T4	False	1	False	+	Liftoff
RAP2C	RAP2C	chrX	33291916	33306362	33286916	33311362	24446	14446	T4	False	1	False	+	Liftoff
FRMD7	FRMD7	chrX	33436622	33488705	33431622	33493705	62083	52083	T4	False	1	False	+	Liftoff
STK26	STK26	chrX	33490852	33559546	33485852	33564546	78694	68694	T4	False	1	False	-	Liftoff
LOC101579177	LOC101579177	chrX	34213776	34214697	34208776	34219697	10921	921	T4	False	1	False	-	Liftoff
LOC105742628	LOC105742628	chrX	34454547	34455472	34449547	34460472	10925	925	T4	False	1	False	+	Liftoff
IGSF1	IGSF1	chrX	34800870	34816543	34795870	34821543	25673	15673	T4	False	1	False	+	Liftoff
LOC101580360	LOC101580360	chrX	34948171	34949143	34943171	34954143	10972	972	T4	False	1	False	-	Liftoff
LOC111817602	LOC111817602	chrX	34989937	34990097	34984937	34995097	10160	160	T4	False	1	False	+	Liftoff
EEF1G-DL1	EEF1G	chrX	35167341	35168563	35162341	35173563	11222	1222	T2	True	2	True	+	AUGUSTUS
ARHGAP36	ARHGAP36	chrX	35191548	35244483	35186548	35249483	62935	52935	T4	False	1	False	-	Liftoff
ENOX2	ENOX2	chrX	35415875	35911722	35410875	35916722	505847	495847	T3	False	1	True	+	Liftoff
LOC111817588	LOC111817588	chrX	36105802	36146397	36100802	36151397	50595	40595	T3	False	1	True	+	Liftoff
RBMX2	RBMX2	chrX	36191865	36203642	36186865	36208642	21777	11777	T3	False	1	True	-	Liftoff
GPR119	GPR119	chrX	36223155	36227844	36218155	36232844	14689	4689	T4	False	1	False	+	Liftoff
SLC25A14	SLC25A14	chrX	36253539	36276286	36248539	36281286	32747	22747	T4	False	1	False	-	Liftoff
ZNF280C	ZNF280C	chrX	36371774	36444975	36366774	36449975	83201	73201	T3	False	1	True	+	Liftoff
RAB33A	RAB33A	chrX	36480137	36493873	36475137	36498873	23736	13736	T3	False	1	True	-	Liftoff
AIFM1	AIFM1	chrX	36499742	36544721	36494742	36549721	54979	44979	T4	False	1	False	+	Liftoff
ELF4	ELF4	chrX	36567762	36612839	36562762	36617839	55077	45077	T4	False	1	False	+	Liftoff
BCORL1	BCORL1	chrX	36618138	36682714	36613138	36687714	74576	64576	T4	False	2	False	-	Liftoff
UTP14A	UTP14A	chrX	36728593	36751690	36723593	36756690	33097	23097	T4	False	2	False	-	Liftoff
LOC101585852	LOC101585852	chrX	36775871	36776826	36770871	36781826	10955	955	T3	False	1	True	-	Liftoff
ZDHHC9	ZDHHC9	chrX	36872121	36908154	36867121	36913154	46033	36033	T4	False	1	False	+	Liftoff
SASH3	SASH3	chrX	36914742	36929247	36909742	36934247	24505	14505	T4	False	1	False	-	Liftoff
XPNPEP2	XPNPEP2	chrX	36939734	36968265	36934734	36973265	38531	28531	T4	False	1	False	-	Liftoff
APLN	APLN	chrX	37062361	37071867	37057361	37076867	19506	9506	T4	False	1	False	+	Liftoff
OCRL	OCRL	chrX	37209601	37270793	37204601	37275793	71192	61192	T4	False	1	False	-	Liftoff
SMARCA1	SMARCA1	chrX	37286954	37382254	37281954	37387254	105300	95300	T3	False	1	True	+	Liftoff
LOC111817598	LOC111817598	chrX	38612106	38612208	38607106	38617208	10102	102	T4	False	1	False	+	Liftoff
ACTRT1	ACTRT1	chrX	39351890	39353185	39346890	39358185	11295	1295	T4	False	1	False	+	Liftoff
AP1AR-L1	AP1AR	chrX	39806927	39808171	39801927	39813171	11244	1244	T2	True	2	True	+	Liftoff
RAB1A-L1	RAB1A	chrX	40984755	40985593	40979755	40990593	10838	838	T2	True	2	True	-	Liftoff
PRR32	PRR32	chrX	41331940	41333413	41326940	41338413	11473	1473	T4	False	1	False	-	Liftoff
LOC111817596	LOC111817596	chrX	42008410	42008517	42003410	42013517	10107	107	T4	False	1	False	-	Liftoff
CPT2-DL1	CPT2	chrX	42303830	42306812	42298830	42311812	12982	2982	T2	True	2	True	-	AUGUSTUS
