chrom	start	end	count
chr1	99000000	100000000	263
chr1	100000000	101000000	441
chr1	101000000	102000000	303
chr1	102000000	103000000	332
chr1	103000000	104000000	384
chr1	104000000	105000000	286
chr1	105000000	106000000	341
chr1	106000000	107000000	426
chr1	107000000	108000000	434
chr1	108000000	109000000	366
chr1	109000000	110000000	391
chr1	110000000	111000000	385
chr1	111000000	112000000	348
chr1	112000000	113000000	362
chr1	113000000	114000000	345
chr1	114000000	115000000	408
chr1	115000000	116000000	384
chr1	116000000	117000000	388
chr1	117000000	118000000	336
chr1	118000000	119000000	309
chr1	119000000	120000000	393
chr1	120000000	121000000	348
chr1	121000000	122000000	315
chr1	122000000	123000000	356
chr1	123000000	124000000	322
chr1	124000000	125000000	343
chr1	125000000	126000000	425
chr1	126000000	127000000	463
chr1	127000000	128000000	222
chr1	128000000	129000000	442
chr1	129000000	130000000	367
chr1	130000000	131000000	383
chr1	131000000	132000000	371
chr1	132000000	133000000	355
chr1	133000000	134000000	350
chr1	134000000	135000000	359
chr1	135000000	136000000	437
chr1	136000000	137000000	362
chr1	137000000	138000000	366
chr1	138000000	139000000	377
chr1	139000000	140000000	484
chr1	140000000	141000000	470
chr1	141000000	142000000	356
chr1	142000000	143000000	364
chr1	143000000	144000000	320
chr1	144000000	145000000	480
chr1	145000000	146000000	421
chr1	146000000	147000000	510
chr1	147000000	148000000	421
chr1	148000000	149000000	428
chr1	149000000	150000000	441
chr1	150000000	151000000	464
chr1	151000000	152000000	470
chr1	152000000	153000000	478
chr1	153000000	154000000	454
chr1	154000000	155000000	336
chr1	155000000	156000000	410
chr1	156000000	157000000	641
chr1	157000000	158000000	698
chr1	158000000	159000000	630
chr1	159000000	160000000	371
chr1	160000000	161000000	402
chr1	161000000	162000000	472
chr1	162000000	163000000	379
chr1	163000000	164000000	689
chr1	164000000	165000000	502
chr1	165000000	166000000	372
chr1	166000000	167000000	422
chr1	167000000	168000000	332
chr1	168000000	169000000	423
chr1	169000000	170000000	361
chr1	170000000	171000000	406
chr1	171000000	172000000	311
chr1	172000000	173000000	329
chr1	173000000	174000000	329
chr1	174000000	175000000	453
chr1	175000000	176000000	399
chr1	176000000	177000000	204
chr1	177000000	178000000	33
chr1	178000000	179000000	0
chr1	179000000	180000000	3
chr1	180000000	181000000	0
chr1	181000000	182000000	0
chr1	182000000	183000000	0
chr1	183000000	184000000	0
chr1	184000000	185000000	0
chr1	185000000	185300982	0
chr2	0	1000000	344
chr2	1000000	2000000	393
chr2	2000000	3000000	379
chr2	3000000	4000000	358
chr2	4000000	5000000	324
chr2	5000000	6000000	359
chr2	6000000	7000000	372
chr2	7000000	8000000	367
chr2	8000000	9000000	349
chr2	9000000	10000000	384
chr2	10000000	11000000	353
chr2	11000000	12000000	417
chr2	12000000	13000000	400
chr2	13000000	14000000	375
chr2	14000000	15000000	520
chr2	15000000	16000000	415
chr2	16000000	17000000	406
chr2	17000000	18000000	510
chr2	18000000	19000000	623
chr2	19000000	20000000	396
chr2	20000000	21000000	535
chr2	21000000	22000000	613
chr2	22000000	23000000	530
chr2	23000000	24000000	260
chr2	24000000	25000000	554
chr2	25000000	26000000	275
chr2	26000000	27000000	441
chr2	27000000	28000000	522
chr2	28000000	29000000	577
chr2	29000000	30000000	621
chr2	30000000	31000000	681
chr2	31000000	32000000	382
chr2	32000000	33000000	482
chr2	33000000	34000000	536
chr2	34000000	35000000	453
chr2	35000000	36000000	365
chr2	36000000	37000000	424
chr2	37000000	38000000	301
chr2	38000000	39000000	337
chr2	39000000	40000000	257
chr2	40000000	41000000	470
chr2	41000000	42000000	281
chr2	42000000	43000000	358
chr2	43000000	44000000	499
chr2	44000000	45000000	281
chr2	45000000	46000000	383
chr2	46000000	47000000	493
chr2	47000000	48000000	246
chr2	48000000	49000000	315
chr2	49000000	50000000	538
chr2	50000000	51000000	381
chr2	51000000	52000000	333
chr2	52000000	53000000	327
chr2	53000000	54000000	403
chr2	54000000	55000000	319
chr2	55000000	56000000	446
chr2	56000000	57000000	366
chr2	57000000	58000000	368
chr2	58000000	59000000	418
chr2	59000000	60000000	344
chr2	60000000	61000000	468
chr2	61000000	62000000	394
chr2	62000000	63000000	406
chr2	63000000	64000000	361
chr2	64000000	65000000	380
chr2	65000000	66000000	580
chr2	66000000	67000000	437
chr2	67000000	68000000	358
chr2	68000000	69000000	354
chr2	69000000	70000000	385
chr2	70000000	71000000	321
chr2	71000000	72000000	381
chr2	72000000	73000000	374
chr2	73000000	74000000	343
chr2	74000000	75000000	432
chr2	75000000	76000000	403
chr2	76000000	77000000	314
chr2	77000000	78000000	389
chr2	78000000	79000000	327
chr2	79000000	80000000	619
chr2	80000000	81000000	581
chr2	81000000	82000000	690
chr2	82000000	83000000	450
chr2	83000000	84000000	280
chr2	84000000	85000000	482
chr2	85000000	86000000	517
chr2	86000000	87000000	565
chr2	87000000	88000000	359
chr2	88000000	89000000	304
chr2	89000000	90000000	293
chr2	90000000	91000000	270
chr2	91000000	92000000	291
chr2	92000000	93000000	293
chr2	93000000	94000000	282
chr2	94000000	95000000	302
chr2	95000000	96000000	318
chr2	96000000	97000000	284
chr2	97000000	98000000	293
chr2	98000000	99000000	280
chr2	99000000	100000000	325
chr2	100000000	101000000	326
chr2	101000000	102000000	271
chr2	102000000	103000000	289
chr2	103000000	104000000	297
chr2	104000000	105000000	320
chr2	105000000	106000000	395
chr2	106000000	107000000	46
chr2	107000000	108000000	0
chr2	108000000	109000000	213
chr2	109000000	110000000	500
chr2	110000000	111000000	484
chr2	111000000	112000000	403
chr2	112000000	113000000	312
chr2	113000000	114000000	313
chr2	114000000	115000000	299
chr2	115000000	116000000	296
chr2	116000000	117000000	282
chr2	117000000	118000000	291
chr2	118000000	119000000	282
chr2	119000000	120000000	272
chr2	120000000	121000000	386
chr2	121000000	122000000	385
chr2	122000000	123000000	359
chr2	123000000	124000000	310
chr2	124000000	125000000	400
chr2	125000000	126000000	368
chr2	126000000	127000000	417
chr2	127000000	128000000	408
chr2	128000000	129000000	358
chr2	129000000	130000000	351
chr2	130000000	131000000	424
chr2	131000000	132000000	390
chr2	132000000	133000000	342
chr2	133000000	134000000	442
chr2	134000000	135000000	393
chr2	135000000	136000000	491
chr2	136000000	137000000	416
chr2	137000000	138000000	368
chr2	138000000	139000000	403
chr2	139000000	140000000	371
chr2	140000000	141000000	438
chr2	141000000	142000000	430
chr2	142000000	143000000	494
chr2	143000000	144000000	418
chr2	144000000	145000000	525
chr2	145000000	146000000	460
chr2	146000000	147000000	384
chr2	147000000	148000000	447
chr2	148000000	149000000	298
chr2	149000000	150000000	523
chr2	150000000	151000000	417
chr2	151000000	152000000	422
chr2	152000000	153000000	541
chr2	153000000	154000000	379
chr2	154000000	155000000	368
chr2	155000000	156000000	342
chr2	156000000	157000000	459
chr2	157000000	158000000	403
chr2	158000000	158109495	76
chr3	0	1000000	283
chr3	1000000	2000000	761
chr3	2000000	3000000	497
chr3	3000000	4000000	512
chr3	4000000	5000000	524
chr3	5000000	6000000	529
chr3	6000000	7000000	541
chr3	7000000	8000000	532
chr3	8000000	9000000	487
chr3	9000000	10000000	179
chr3	10000000	11000000	4
chr3	11000000	12000000	0
chr3	12000000	13000000	208
chr3	13000000	14000000	1025
chr3	14000000	15000000	522
chr3	15000000	16000000	301
chr3	16000000	17000000	299
chr3	17000000	18000000	313
chr3	18000000	19000000	313
chr3	19000000	20000000	294
chr3	20000000	21000000	474
chr3	21000000	22000000	304
chr3	22000000	23000000	424
chr3	23000000	24000000	299
chr3	24000000	25000000	472
chr3	25000000	26000000	387
chr3	26000000	27000000	340
chr3	27000000	28000000	381
chr3	28000000	29000000	384
chr3	29000000	30000000	363
chr3	30000000	31000000	366
chr3	31000000	32000000	489
chr3	32000000	33000000	383
chr3	33000000	34000000	388
chr3	34000000	35000000	414
chr3	35000000	36000000	333
chr3	36000000	37000000	364
chr3	37000000	38000000	393
chr3	38000000	39000000	322
chr3	39000000	40000000	545
chr3	40000000	41000000	342
chr3	41000000	42000000	514
chr3	42000000	43000000	563
chr3	43000000	44000000	679
chr3	44000000	45000000	410
chr3	45000000	46000000	344
chr3	46000000	47000000	321
chr3	47000000	48000000	323
chr3	48000000	49000000	336
chr3	49000000	50000000	392
chr3	50000000	51000000	352
chr3	51000000	52000000	438
chr3	52000000	53000000	436
chr3	53000000	54000000	394
chr3	54000000	55000000	349
chr3	55000000	56000000	382
chr3	56000000	57000000	416
chr3	57000000	58000000	382
chr3	58000000	59000000	380
chr3	59000000	60000000	388
chr3	60000000	61000000	403
chr3	61000000	62000000	373
chr3	62000000	63000000	337
chr3	63000000	64000000	371
chr3	64000000	65000000	386
chr3	65000000	66000000	422
chr3	66000000	67000000	323
chr3	67000000	68000000	324
chr3	68000000	69000000	344
chr3	69000000	70000000	288
chr3	70000000	71000000	371
chr3	71000000	72000000	399
chr3	72000000	73000000	413
chr3	73000000	74000000	326
chr3	74000000	75000000	403
chr3	75000000	76000000	426
chr3	76000000	77000000	342
chr3	77000000	78000000	297
chr3	78000000	79000000	339
chr3	79000000	80000000	460
chr3	80000000	81000000	590
chr3	81000000	82000000	564
chr3	82000000	83000000	536
chr3	83000000	84000000	416
chr3	84000000	85000000	471
chr3	85000000	86000000	448
chr3	86000000	87000000	572
chr3	87000000	88000000	536
chr3	88000000	89000000	552
chr3	89000000	90000000	520
chr3	90000000	91000000	484
chr3	91000000	92000000	533
chr3	92000000	93000000	428
chr3	93000000	94000000	428
chr3	94000000	95000000	525
chr3	95000000	96000000	487
chr3	96000000	97000000	407
chr3	97000000	98000000	432
chr3	98000000	99000000	404
chr3	99000000	100000000	396
chr3	100000000	101000000	362
chr3	101000000	102000000	406
chr3	102000000	103000000	271
chr3	103000000	104000000	391
chr3	104000000	105000000	301
chr3	105000000	106000000	405
chr3	106000000	107000000	332
chr3	107000000	108000000	293
chr3	108000000	109000000	507
chr3	109000000	110000000	617
chr3	110000000	111000000	415
chr3	111000000	112000000	331
chr3	112000000	113000000	382
chr3	113000000	114000000	263
chr3	114000000	115000000	302
chr3	115000000	116000000	309
chr3	116000000	117000000	275
chr3	117000000	118000000	601
chr3	118000000	119000000	599
chr3	119000000	120000000	599
chr3	120000000	121000000	548
chr3	121000000	122000000	608
chr3	122000000	123000000	524
chr3	123000000	124000000	568
chr3	124000000	125000000	474
chr3	125000000	126000000	388
chr3	126000000	127000000	574
chr3	127000000	128000000	623
chr3	128000000	129000000	317
chr3	129000000	130000000	387
chr3	130000000	131000000	406
chr3	131000000	132000000	334
chr3	132000000	133000000	340
chr3	133000000	134000000	469
chr3	134000000	135000000	338
chr3	135000000	136000000	398
chr3	136000000	137000000	456
chr3	137000000	138000000	408
chr3	138000000	139000000	343
chr3	139000000	140000000	363
chr3	140000000	141000000	355
chr3	141000000	142000000	318
chr3	142000000	143000000	466
chr3	143000000	144000000	422
chr3	144000000	145000000	402
chr3	145000000	146000000	399
chr3	146000000	147000000	511
chr3	147000000	148000000	394
chr3	148000000	149000000	573
chr3	149000000	150000000	402
chr3	150000000	151000000	108
chr3	151000000	152000000	13
chr3	152000000	152493930	103
chr4	0	1000000	351
chr4	1000000	2000000	369
chr4	2000000	3000000	364
chr4	3000000	4000000	353
chr4	4000000	5000000	336
chr4	5000000	6000000	350
chr4	6000000	7000000	292
chr4	7000000	8000000	292
chr4	8000000	9000000	384
chr4	9000000	10000000	361
chr4	10000000	11000000	406
chr4	11000000	12000000	365
chr4	12000000	13000000	351
chr4	13000000	14000000	529
chr4	14000000	15000000	669
chr4	15000000	16000000	452
chr4	16000000	17000000	429
chr4	17000000	18000000	364
chr4	18000000	19000000	503
chr4	19000000	20000000	416
chr4	20000000	21000000	478
chr4	21000000	22000000	457
chr4	22000000	23000000	465
chr4	23000000	24000000	386
chr4	24000000	25000000	476
chr4	25000000	26000000	473
chr4	26000000	27000000	479
chr4	27000000	28000000	516
chr4	28000000	29000000	451
chr4	29000000	30000000	432
chr4	30000000	31000000	420
chr4	31000000	32000000	431
chr4	32000000	33000000	452
chr4	33000000	34000000	497
chr4	34000000	35000000	426
chr4	35000000	36000000	450
chr4	36000000	37000000	529
chr4	37000000	38000000	494
chr4	38000000	39000000	619
chr4	39000000	40000000	585
chr4	40000000	41000000	310
chr4	41000000	42000000	490
chr4	42000000	43000000	397
chr4	43000000	44000000	357
chr4	44000000	45000000	525
chr4	45000000	46000000	547
chr4	46000000	47000000	450
chr4	47000000	48000000	495
chr4	48000000	49000000	439
chr4	49000000	50000000	378
chr4	50000000	51000000	352
chr4	51000000	52000000	350
chr4	52000000	53000000	344
chr4	53000000	54000000	418
chr4	54000000	55000000	347
chr4	55000000	56000000	386
chr4	56000000	57000000	367
chr4	57000000	58000000	407
chr4	58000000	59000000	350
chr4	59000000	60000000	294
chr4	60000000	61000000	328
chr4	61000000	62000000	628
chr4	62000000	63000000	494
chr4	63000000	64000000	528
chr4	64000000	65000000	390
chr4	65000000	66000000	413
chr4	66000000	67000000	511
chr4	67000000	68000000	496
chr4	68000000	69000000	425
chr4	69000000	70000000	516
chr4	70000000	71000000	453
chr4	71000000	72000000	439
chr4	72000000	73000000	432
chr4	73000000	74000000	400
chr4	74000000	75000000	388
chr4	75000000	76000000	521
chr4	76000000	77000000	583
chr4	77000000	78000000	414
chr4	78000000	79000000	356
chr4	79000000	80000000	383
chr4	80000000	81000000	588
chr4	81000000	82000000	477
chr4	82000000	83000000	625
chr4	83000000	84000000	600
chr4	84000000	85000000	559
chr4	85000000	86000000	382
chr4	86000000	87000000	474
chr4	87000000	88000000	414
chr4	88000000	89000000	316
chr4	89000000	90000000	415
chr4	90000000	91000000	396
chr4	91000000	92000000	333
chr4	92000000	93000000	244
chr4	93000000	94000000	241
chr4	94000000	95000000	419
chr4	95000000	96000000	352
chr4	96000000	97000000	318
chr4	97000000	98000000	365
chr4	98000000	99000000	456
chr4	99000000	100000000	367
chr4	100000000	101000000	593
chr4	101000000	102000000	393
chr4	102000000	103000000	388
chr4	103000000	104000000	435
chr4	104000000	105000000	320
chr4	105000000	106000000	382
chr4	106000000	107000000	346
chr4	107000000	108000000	281
chr4	108000000	109000000	322
chr4	109000000	110000000	320
chr4	110000000	111000000	285
chr4	111000000	112000000	272
chr4	112000000	113000000	443
chr4	113000000	114000000	330
chr4	114000000	115000000	390
chr4	115000000	116000000	326
chr4	116000000	117000000	281
chr4	117000000	118000000	256
chr4	118000000	119000000	344
chr4	119000000	120000000	270
chr4	120000000	121000000	310
chr4	121000000	122000000	345
chr4	122000000	123000000	267
chr4	123000000	124000000	324
chr4	124000000	125000000	140
chr4	125000000	126000000	12
chr4	126000000	127000000	35
chr4	127000000	128000000	12
chr4	128000000	129000000	16
chr4	129000000	130000000	8
chr4	130000000	131000000	12
chr4	131000000	132000000	22
chr4	132000000	133000000	37
chr4	133000000	134000000	257
chr4	134000000	135000000	366
chr4	135000000	136000000	369
chr4	136000000	137000000	292
chr4	137000000	138000000	274
chr4	138000000	139000000	286
chr4	139000000	140000000	321
chr4	140000000	141000000	283
chr4	141000000	142000000	235
chr4	142000000	143000000	296
chr4	143000000	144000000	274
chr4	144000000	145000000	287
chr4	145000000	146000000	294
chr4	146000000	147000000	368
chr4	147000000	148000000	321
chr4	148000000	149000000	305
chr4	149000000	150000000	19
chr4	150000000	151000000	83
chr4	151000000	151562733	7
chr5	0	1000000	4
chr5	1000000	2000000	0
chr5	2000000	3000000	19
chr5	3000000	4000000	28
chr5	4000000	5000000	225
chr5	5000000	6000000	365
chr5	6000000	7000000	540
chr5	7000000	8000000	462
chr5	8000000	9000000	478
chr5	9000000	10000000	372
chr5	10000000	11000000	386
chr5	11000000	12000000	500
chr5	12000000	13000000	407
chr5	13000000	14000000	375
chr5	14000000	15000000	429
chr5	15000000	16000000	389
chr5	16000000	17000000	393
chr5	17000000	18000000	403
chr5	18000000	19000000	411
chr5	19000000	20000000	421
chr5	20000000	21000000	439
chr5	21000000	22000000	373
chr5	22000000	23000000	388
chr5	23000000	24000000	367
chr5	24000000	25000000	319
chr5	25000000	26000000	385
chr5	26000000	27000000	452
chr5	27000000	28000000	375
chr5	28000000	29000000	404
chr5	29000000	30000000	389
chr5	30000000	31000000	442
chr5	31000000	32000000	326
chr5	32000000	33000000	433
chr5	33000000	34000000	443
chr5	34000000	35000000	384
chr5	35000000	36000000	362
chr5	36000000	37000000	451
chr5	37000000	38000000	404
chr5	38000000	39000000	333
chr5	39000000	40000000	404
chr5	40000000	41000000	409
chr5	41000000	42000000	458
chr5	42000000	43000000	344
chr5	43000000	44000000	365
chr5	44000000	45000000	400
chr5	45000000	46000000	361
chr5	46000000	47000000	364
chr5	47000000	48000000	387
chr5	48000000	49000000	384
chr5	49000000	50000000	371
chr5	50000000	51000000	380
chr5	51000000	52000000	381
chr5	52000000	53000000	352
chr5	53000000	54000000	367
chr5	54000000	55000000	551
chr5	55000000	56000000	371
chr5	56000000	57000000	351
chr5	57000000	58000000	374
chr5	58000000	59000000	437
chr5	59000000	60000000	342
chr5	60000000	61000000	334
chr5	61000000	62000000	387
chr5	62000000	63000000	438
chr5	63000000	64000000	454
chr5	64000000	65000000	332
chr5	65000000	66000000	392
chr5	66000000	67000000	401
chr5	67000000	68000000	389
chr5	68000000	69000000	405
chr5	69000000	70000000	361
chr5	70000000	71000000	352
chr5	71000000	72000000	382
chr5	72000000	73000000	340
chr5	73000000	74000000	360
chr5	74000000	75000000	323
chr5	75000000	76000000	296
chr5	76000000	77000000	378
chr5	77000000	78000000	348
chr5	78000000	79000000	403
chr5	79000000	80000000	323
chr5	80000000	81000000	383
chr5	81000000	82000000	194
chr5	82000000	83000000	230
chr5	83000000	84000000	335
chr5	84000000	85000000	339
chr5	85000000	86000000	389
chr5	86000000	87000000	454
chr5	87000000	88000000	422
chr5	88000000	89000000	334
chr5	89000000	90000000	357
chr5	90000000	91000000	415
chr5	91000000	92000000	352
chr5	92000000	93000000	429
chr5	93000000	94000000	418
chr5	94000000	95000000	341
chr5	95000000	96000000	337
chr5	96000000	97000000	392
chr5	97000000	98000000	374
chr5	98000000	99000000	432
chr5	99000000	100000000	424
chr5	100000000	101000000	385
chr5	101000000	102000000	338
chr5	102000000	103000000	336
chr5	103000000	104000000	362
chr5	104000000	105000000	332
chr5	105000000	106000000	370
chr5	106000000	107000000	347
chr5	107000000	108000000	305
chr5	108000000	109000000	389
chr5	109000000	110000000	398
chr5	110000000	111000000	337
chr5	111000000	112000000	340
chr5	112000000	113000000	315
chr5	113000000	114000000	364
chr5	114000000	115000000	609
chr5	115000000	116000000	408
chr5	116000000	117000000	332
chr5	117000000	118000000	318
chr5	118000000	119000000	408
chr5	119000000	120000000	397
chr5	120000000	121000000	332
chr5	121000000	122000000	391
chr5	122000000	123000000	415
chr5	123000000	124000000	304
chr5	124000000	125000000	339
chr5	125000000	126000000	378
chr5	126000000	127000000	316
chr5	127000000	128000000	345
chr5	128000000	129000000	399
chr5	129000000	130000000	310
chr5	130000000	131000000	374
chr5	131000000	132000000	333
chr5	132000000	133000000	388
chr5	133000000	134000000	347
chr5	134000000	135000000	297
chr5	135000000	136000000	322
chr5	136000000	137000000	354
chr5	137000000	138000000	223
chr5	138000000	139000000	0
chr5	139000000	140000000	74
chr5	140000000	141000000	17
chr5	141000000	142000000	183
chr5	142000000	142911117	53
chr6	0	1000000	286
chr6	1000000	2000000	265
chr6	2000000	3000000	286
chr6	3000000	4000000	297
chr6	4000000	5000000	487
chr6	5000000	6000000	312
chr6	6000000	7000000	331
chr6	7000000	8000000	335
chr6	8000000	9000000	392
chr6	9000000	10000000	413
chr6	10000000	11000000	339
chr6	11000000	12000000	311
chr6	12000000	13000000	334
chr6	13000000	14000000	409
chr6	14000000	15000000	482
chr6	15000000	16000000	353
chr6	16000000	17000000	364
chr6	17000000	18000000	446
chr6	18000000	19000000	390
chr6	19000000	20000000	387
chr6	20000000	21000000	422
chr6	21000000	22000000	363
chr6	22000000	23000000	408
chr6	23000000	24000000	448
chr6	24000000	25000000	318
chr6	25000000	26000000	485
chr6	26000000	27000000	264
chr6	27000000	28000000	376
chr6	28000000	29000000	454
chr6	29000000	30000000	397
chr6	30000000	31000000	493
chr6	31000000	32000000	222
chr6	32000000	33000000	511
chr6	33000000	34000000	433
chr6	34000000	35000000	527
chr6	35000000	36000000	594
chr6	36000000	37000000	509
chr6	37000000	38000000	454
chr6	38000000	39000000	434
chr6	39000000	40000000	404
chr6	40000000	41000000	423
chr6	41000000	42000000	486
chr6	42000000	43000000	551
chr6	43000000	44000000	450
chr6	44000000	45000000	472
chr6	45000000	46000000	459
chr6	46000000	47000000	402
chr6	47000000	48000000	477
chr6	48000000	49000000	385
chr6	49000000	50000000	395
chr6	50000000	51000000	400
chr6	51000000	52000000	346
chr6	52000000	53000000	343
chr6	53000000	54000000	345
chr6	54000000	55000000	382
chr6	55000000	56000000	382
chr6	56000000	57000000	376
chr6	57000000	58000000	380
chr6	58000000	59000000	370
chr6	59000000	60000000	326
chr6	60000000	61000000	356
chr6	61000000	62000000	339
chr6	62000000	63000000	531
chr6	63000000	64000000	745
chr6	64000000	65000000	427
chr6	65000000	66000000	482
chr6	66000000	67000000	345
chr6	67000000	68000000	362
chr6	68000000	69000000	353
chr6	69000000	70000000	342
chr6	70000000	71000000	374
chr6	71000000	72000000	315
chr6	72000000	73000000	378
chr6	73000000	74000000	300
chr6	74000000	75000000	363
chr6	75000000	76000000	502
chr6	76000000	77000000	363
chr6	77000000	78000000	367
chr6	78000000	79000000	478
chr6	79000000	80000000	477
chr6	80000000	81000000	323
chr6	81000000	82000000	460
chr6	82000000	83000000	380
chr6	83000000	84000000	417
chr6	84000000	85000000	329
chr6	85000000	86000000	356
chr6	86000000	87000000	369
chr6	87000000	88000000	398
chr6	88000000	89000000	291
chr6	89000000	90000000	439
chr6	90000000	91000000	335
chr6	91000000	92000000	336
chr6	92000000	93000000	356
chr6	93000000	94000000	408
chr6	94000000	95000000	527
chr6	95000000	96000000	337
chr6	96000000	97000000	328
chr6	97000000	98000000	355
chr6	98000000	99000000	354
chr6	99000000	100000000	340
chr6	100000000	101000000	497
chr6	101000000	102000000	345
chr6	102000000	103000000	378
chr6	103000000	104000000	384
chr6	104000000	105000000	331
chr6	105000000	106000000	414
chr6	106000000	107000000	347
chr6	107000000	108000000	370
chr6	108000000	109000000	411
chr6	109000000	110000000	438
chr6	110000000	111000000	391
chr6	111000000	112000000	400
chr6	112000000	113000000	522
chr6	113000000	114000000	356
chr6	114000000	115000000	395
chr6	115000000	116000000	320
chr6	116000000	117000000	285
chr6	117000000	118000000	436
chr6	118000000	119000000	348
chr6	119000000	120000000	362
chr6	120000000	121000000	381
chr6	121000000	122000000	359
chr6	122000000	123000000	431
chr6	123000000	124000000	376
chr6	124000000	125000000	357
chr6	125000000	126000000	438
chr6	126000000	127000000	404
chr6	127000000	128000000	361
chr6	128000000	129000000	363
chr6	129000000	130000000	428
chr6	130000000	131000000	279
chr6	131000000	132000000	366
chr6	132000000	133000000	324
chr6	133000000	134000000	377
chr6	134000000	135000000	357
chr6	135000000	136000000	441
chr6	136000000	137000000	506
chr6	137000000	138000000	357
chr6	138000000	138704743	286
chr7	0	1000000	260
chr7	1000000	2000000	505
chr7	2000000	3000000	514
chr7	3000000	4000000	589
chr7	4000000	5000000	614
chr7	5000000	6000000	635
chr7	6000000	7000000	674
chr7	7000000	8000000	551
chr7	8000000	9000000	538
chr7	9000000	10000000	493
chr7	10000000	11000000	511
chr7	11000000	12000000	471
chr7	12000000	13000000	441
chr7	13000000	14000000	422
chr7	14000000	15000000	474
chr7	15000000	16000000	629
chr7	16000000	17000000	565
chr7	17000000	18000000	535
chr7	18000000	19000000	561
chr7	19000000	20000000	519
chr7	20000000	21000000	391
chr7	21000000	22000000	373
chr7	22000000	23000000	477
chr7	23000000	24000000	391
chr7	24000000	25000000	419
chr7	25000000	26000000	625
chr7	26000000	27000000	480
chr7	27000000	28000000	425
chr7	28000000	29000000	679
chr7	29000000	30000000	608
chr7	30000000	31000000	534
chr7	31000000	32000000	652
chr7	32000000	33000000	608
chr7	33000000	34000000	292
chr7	34000000	35000000	578
chr7	35000000	36000000	423
chr7	36000000	37000000	380
chr7	37000000	38000000	525
chr7	38000000	39000000	569
chr7	39000000	40000000	587
chr7	40000000	41000000	466
chr7	41000000	42000000	399
chr7	42000000	43000000	369
chr7	43000000	44000000	355
chr7	44000000	45000000	390
chr7	45000000	46000000	352
chr7	46000000	47000000	361
chr7	47000000	48000000	471
chr7	48000000	49000000	432
chr7	49000000	50000000	498
chr7	50000000	51000000	322
chr7	51000000	52000000	247
chr7	52000000	53000000	429
chr7	53000000	54000000	402
chr7	54000000	55000000	428
chr7	55000000	56000000	325
chr7	56000000	57000000	333
chr7	57000000	58000000	381
chr7	58000000	59000000	396
chr7	59000000	60000000	411
chr7	60000000	61000000	1312
chr7	61000000	62000000	13
chr7	62000000	63000000	0
chr7	63000000	64000000	2
chr7	64000000	65000000	0
chr7	65000000	66000000	17
chr7	66000000	67000000	105
