Chromosome	Start	End	Overlap	density	midpoint
chr1	32000001	33000000	337623	0.337623	32500000
chr1	32500001	33500000	286319	0.286319	33000000
chr1	33000001	34000000	356469	0.356469	33500000
chr1	33500001	34500000	522900	0.5229	34000000
chr1	34000001	35000000	596688	0.596688	34500000
chr1	34500001	35500000	534173	0.534173	35000000
chr1	35000001	36000000	465192	0.465192	35500000
chr1	35500001	36500000	430428	0.430428	36000000
chr1	36000001	37000000	440954	0.440954	36500000
chr1	36500001	37500000	484013	0.484013	37000000
chr1	37000001	38000000	520197	0.520197	37500000
chr1	37500001	38500000	552471	0.552471	38000000
chr1	38000001	39000000	515713	0.515713	38500000
chr1	38500001	39500000	486180	0.48618	39000000
chr1	39000001	40000000	478015	0.478015	39500000
chr1	39500001	40500000	467645	0.467645	40000000
chr1	40000001	41000000	485197	0.485197	40500000
chr1	40500001	41500000	469545	0.469545	41000000
chr1	41000001	42000000	501972	0.501972	41500000
chr1	41500001	42500000	538629	0.538629	42000000
chr1	42000001	43000000	561674	0.561674	42500000
chr1	42500001	43500000	487807	0.487807	43000000
chr1	43000001	44000000	357349	0.357349	43500000
chr1	43500001	44500000	326241	0.326241	44000000
chr1	44000001	45000000	348595	0.348595	44500000
chr1	44500001	45500000	448711	0.448711	45000000
chr1	45000001	46000000	466565	0.466565	45500000
chr1	45500001	46500000	462787	0.462787	46000000
chr1	46000001	47000000	507783	0.507783	46500000
chr1	46500001	47500000	475757	0.475757	47000000
chr1	47000001	48000000	387574	0.387574	47500000
chr1	47500001	48500000	319450	0.31945	48000000
chr1	48000001	49000000	317624	0.317624	48500000
chr1	48500001	49500000	361798	0.361798	49000000
chr1	49000001	50000000	379135	0.379135	49500000
chr1	49500001	50500000	350519	0.350519	50000000
chr1	50000001	51000000	417698	0.417698	50500000
chr1	50500001	51500000	449797	0.449797	51000000
chr1	51000001	52000000	386765	0.386765	51500000
chr1	51500001	52500000	581296	0.581296	52000000
chr1	52000001	53000000	623198	0.623198	52500000
chr1	52500001	53500000	381631	0.381631	53000000
chr1	53000001	54000000	348615	0.348615	53500000
chr1	53500001	54500000	370049	0.370049	54000000
chr1	54000001	55000000	257839	0.257839	54500000
chr1	54500001	55500000	250128	0.250128	55000000
chr1	55000001	56000000	276960	0.27696	55500000
chr1	55500001	56500000	239693	0.239693	56000000
chr1	56000001	57000000	218248	0.218248	56500000
chr1	56500001	57500000	213590	0.21359	57000000
chr1	57000001	58000000	255140	0.25514	57500000
chr1	57500001	58500000	327704	0.327704	58000000
chr1	58000001	59000000	423594	0.423594	58500000
chr1	58500001	59500000	430146	0.430146	59000000
chr1	59000001	60000000	376224	0.376224	59500000
chr1	59500001	60500000	382165	0.382165	60000000
chr1	60000001	61000000	430129	0.430129	60500000
chr1	60500001	61500000	419506	0.419506	61000000
chr1	61000001	62000000	394506	0.394506	61500000
chr1	61500001	62500000	362776	0.362776	62000000
chr1	62000001	63000000	328481	0.328481	62500000
chr1	62500001	63500000	395580	0.39558	63000000
chr1	63000001	64000000	406379	0.406379	63500000
chr1	63500001	64500000	347546	0.347546	64000000
chr1	64000001	65000000	298846	0.298846	64500000
chr1	64500001	65500000	334644	0.334644	65000000
chr1	65000001	66000000	372639	0.372639	65500000
chr1	65500001	66500000	357374	0.357374	66000000
chr1	66000001	67000000	346200	0.3462	66500000
chr1	66500001	67500000	383421	0.383421	67000000
chr1	67000001	68000000	395724	0.395724	67500000
chr1	67500001	68500000	422495	0.422495	68000000
chr1	68000001	69000000	452681	0.452681	68500000
chr1	68500001	69500000	379532	0.379532	69000000
chr1	69000001	70000000	335637	0.335637	69500000
chr1	69500001	70500000	310110	0.31011	70000000
chr1	70000001	71000000	326087	0.326087	70500000
chr1	70500001	71500000	359829	0.359829	71000000
chr1	71000001	72000000	355606	0.355606	71500000
chr1	71500001	72500000	337800	0.3378	72000000
chr1	72000001	73000000	321130	0.32113	72500000
chr1	72500001	73500000	363322	0.363322	73000000
chr1	73000001	74000000	402271	0.402271	73500000
chr1	73500001	74500000	395170	0.39517	74000000
chr1	74000001	75000000	391164	0.391164	74500000
chr1	74500001	75500000	364497	0.364497	75000000
chr1	75000001	76000000	346089	0.346089	75500000
chr1	75500001	76500000	437767	0.437767	76000000
chr1	76000001	77000000	504735	0.504735	76500000
chr1	76500001	77500000	416423	0.416423	77000000
chr1	77000001	78000000	381880	0.38188	77500000
chr1	77500001	78500000	401983	0.401983	78000000
chr1	78000001	79000000	390789	0.390789	78500000
chr1	78500001	79500000	422210	0.42221	79000000
chr1	79000001	80000000	416206	0.416206	79500000
chr1	79500001	80500000	320334	0.320334	80000000
chr1	80000001	81000000	290219	0.290219	80500000
chr1	80500001	81500000	311592	0.311592	81000000
chr1	81000001	82000000	371503	0.371503	81500000
chr1	81500001	82500000	402218	0.402218	82000000
chr1	82000001	83000000	374335	0.374335	82500000
chr1	82500001	83500000	364316	0.364316	83000000
chr1	83000001	84000000	487440	0.48744	83500000
chr1	83500001	84500000	620464	0.620464	84000000
chr1	84000001	85000000	545575	0.545575	84500000
chr1	84500001	85500000	429310	0.42931	85000000
chr1	85000001	86000000	343478	0.343478	85500000
chr1	85500001	86500000	351022	0.351022	86000000
chr1	86000001	87000000	468195	0.468195	86500000
chr1	86500001	87500000	500227	0.500227	87000000
chr1	87000001	88000000	361826	0.361826	87500000
chr1	87500001	88500000	302953	0.302953	88000000
chr1	88000001	89000000	390317	0.390317	88500000
chr1	88500001	89500000	397656	0.397656	89000000
chr1	89000001	90000000	416731	0.416731	89500000
chr1	89500001	90500000	505051	0.505051	90000000
chr1	90000001	91000000	557183	0.557183	90500000
chr1	90500001	91500000	562516	0.562516	91000000
chr1	91000001	92000000	495228	0.495228	91500000
chr1	91500001	92500000	527666	0.527666	92000000
chr1	92000001	93000000	593188	0.593188	92500000
chr1	92500001	93500000	511586	0.511586	93000000
chr1	93000001	94000000	456636	0.456636	93500000
chr1	93500001	94500000	410985	0.410985	94000000
chr1	94000001	95000000	410450	0.41045	94500000
chr1	94500001	95500000	451727	0.451727	95000000
chr1	95000001	96000000	443383	0.443383	95500000
chr1	95500001	96500000	402644	0.402644	96000000
chr1	96000001	97000000	394593	0.394593	96500000
chr1	96500001	97500000	371887	0.371887	97000000
chr1	97000001	98000000	295747	0.295747	97500000
chr1	97500001	98500000	384123	0.384123	98000000
chr1	98000001	99000000	459625	0.459625	98500000
chr1	98500001	99500000	475987	0.475987	99000000
chr1	99000001	100000000	493015	0.493015	99500000
chr1	99500001	100500000	449865	0.449865	100000000
chr1	100000001	101000000	434036	0.434036	100500000
chr1	100500001	101500000	408591	0.408591	101000000
chr1	101000001	102000000	496057	0.496057	101500000
chr1	101500001	102500000	588244	0.588244	102000000
chr1	102000001	103000000	622273	0.622273	102500000
chr1	102500001	103500000	533853	0.533853	103000000
chr1	103000001	104000000	409594	0.409594	103500000
chr1	103500001	104500000	455471	0.455471	104000000
chr1	104000001	105000000	410016	0.410016	104500000
chr1	104500001	105500000	435247	0.435247	105000000
chr1	105000001	106000000	509201	0.509201	105500000
chr1	105500001	106500000	482012	0.482012	106000000
chr1	106000001	107000000	487818	0.487818	106500000
chr1	106500001	107500000	524553	0.524553	107000000
chr1	107000001	108000000	503463	0.503463	107500000
chr1	107500001	108500000	708145	0.708145	108000000
chr1	108000001	109000000	739207	0.739207	108500000
chr1	108500001	109500000	523200	0.5232	109000000
chr1	109000001	110000000	586693	0.586693	109500000
chr1	109500001	110500000	604950	0.60495	110000000
chr1	110000001	111000000	588073	0.588073	110500000
chr1	110500001	111500000	542105	0.542105	111000000
chr1	111000001	112000000	464742	0.464742	111500000
chr1	111500001	112500000	454215	0.454215	112000000
chr1	112000001	113000000	414832	0.414832	112500000
chr1	112500001	113500000	394762	0.394762	113000000
chr1	113000001	114000000	397674	0.397674	113500000
chr1	113500001	114500000	423035	0.423035	114000000
chr1	114000001	115000000	486631	0.486631	114500000
chr1	114500001	115500000	402526	0.402526	115000000
chr1	115000001	116000000	321949	0.321949	115500000
chr1	115500001	116500000	352881	0.352881	116000000
chr1	116000001	117000000	452293	0.452293	116500000
chr1	116500001	117500000	471979	0.471979	117000000
chr1	117000001	118000000	409324	0.409324	117500000
chr1	117500001	118500000	324718	0.324718	118000000
chr1	118000001	119000000	351342	0.351342	118500000
chr1	118500001	119500000	467010	0.46701	119000000
chr1	119000001	120000000	485142	0.485142	119500000
chr1	119500001	120500000	485572	0.485572	120000000
chr1	120000001	121000000	472515	0.472515	120500000
chr1	120500001	121500000	575044	0.575044	121000000
chr1	121000001	122000000	590603	0.590603	121500000
chr1	121500001	122500000	574884	0.574884	122000000
chr1	122000001	123000000	664736	0.664736	122500000
chr1	122500001	123500000	683392	0.683392	123000000
chr1	123000001	124000000	547996	0.547996	123500000
chr1	123500001	124500000	710041	0.710041	124000000
chr1	124000001	125000000	998531	0.998531	124500000
chr1	124500001	125500000	998555	0.998555	125000000
chr1	125000001	126000000	767031	0.767031	125500000
chr1	125500001	126500000	469031	0.469031	126000000
chr1	126000001	127000000	485253	0.485253	126500000
chr1	126500001	127500000	774779	0.774779	127000000
chr1	127000001	128000000	984289	0.984289	127500000
chr1	127500001	128500000	994165	0.994165	128000000
chr1	128000001	129000000	696530	0.69653	128500000
chr1	128500001	129500000	472126	0.472126	129000000
chr1	129000001	130000000	507460	0.50746	129500000
chr1	129500001	130500000	429269	0.429269	130000000
chr1	130000001	131000000	401081	0.401081	130500000
chr1	130500001	131500000	430197	0.430197	131000000
chr1	131000001	132000000	447492	0.447492	131500000
chr1	131500001	132500000	469568	0.469568	132000000
chr1	132000001	133000000	545625	0.545625	132500000
chr1	132500001	133500000	538914	0.538914	133000000
chr1	133000001	134000000	510786	0.510786	133500000
chr1	133500001	134500000	428344	0.428344	134000000
chr1	134000001	135000000	438669	0.438669	134500000
chr1	134500001	135500000	483980	0.48398	135000000
chr1	135000001	136000000	418921	0.418921	135500000
chr1	135500001	136500000	348595	0.348595	136000000
chr1	136000001	137000000	309082	0.309082	136500000
chr1	136500001	137500000	328130	0.32813	137000000
chr1	137000001	138000000	288137	0.288137	137500000
chr1	137500001	138500000	314687	0.314687	138000000
chr1	138000001	139000000	371536	0.371536	138500000
chr1	138500001	139500000	378734	0.378734	139000000
chr1	139000001	140000000	382098	0.382098	139500000
chr1	139500001	140500000	453298	0.453298	140000000
chr1	140000001	141000000	446650	0.44665	140500000
chr1	140500001	141500000	290225	0.290225	141000000
chr1	141000001	142000000	241823	0.241823	141500000
chr1	141500001	142500000	292512	0.292512	142000000
chr1	142000001	143000000	378635	0.378635	142500000
chr1	142500001	143500000	536587	0.536587	143000000
chr1	143000001	144000000	564139	0.564139	143500000
chr1	143500001	144500000	441564	0.441564	144000000
chr1	144000001	145000000	362785	0.362785	144500000
chr1	144500001	145500000	350659	0.350659	145000000
chr1	145000001	146000000	337086	0.337086	145500000
chr1	145500001	146500000	395267	0.395267	146000000
chr1	146000001	147000000	526513	0.526513	146500000
chr1	146500001	147500000	490112	0.490112	147000000
chr1	147000001	148000000	450856	0.450856	147500000
chr1	147500001	148500000	487051	0.487051	148000000
chr1	148000001	149000000	438987	0.438987	148500000
chr1	148500001	149500000	418096	0.418096	149000000
chr1	149000001	150000000	384414	0.384414	149500000
chr1	149500001	150500000	374654	0.374654	150000000
chr1	150000001	151000000	423352	0.423352	150500000
chr1	150500001	151500000	431000	0.431	151000000
chr1	151000001	152000000	404924	0.404924	151500000
chr1	151500001	152500000	402898	0.402898	152000000
chr1	152000001	153000000	414715	0.414715	152500000
chr1	152500001	153500000	361431	0.361431	153000000
chr1	153000001	154000000	320676	0.320676	153500000
chr1	153500001	154500000	318502	0.318502	154000000
chr1	154000001	155000000	328846	0.328846	154500000
chr1	154500001	155500000	344368	0.344368	155000000
chr1	155000001	156000000	409757	0.409757	155500000
chr1	155500001	156500000	423417	0.423417	156000000
chr1	156000001	157000000	412674	0.412674	156500000
chr1	156500001	157500000	457218	0.457218	157000000
chr1	157000001	158000000	485710	0.48571	157500000
chr1	157500001	158500000	507102	0.507102	158000000
chr1	158000001	159000000	479931	0.479931	158500000
chr1	158500001	159500000	411683	0.411683	159000000
chr1	159000001	160000000	287225	0.287225	159500000
chr1	159500001	160500000	213160	0.21316	160000000
chr1	160000001	161000000	415956	0.415956	160500000
chr1	160500001	161500000	538510	0.53851	161000000
chr1	161000001	162000000	475934	0.475934	161500000
chr1	161500001	162500000	420971	0.420971	162000000
chr1	162000001	163000000	345694	0.345694	162500000
chr1	162500001	163500000	421499	0.421499	163000000
chr1	163000001	164000000	491330	0.49133	163500000
chr1	163500001	164500000	485773	0.485773	164000000
chr1	164000001	165000000	539499	0.539499	164500000
chr1	164500001	165500000	484571	0.484571	165000000
chr1	165000001	166000000	387430	0.38743	165500000
chr1	165500001	166500000	370860	0.37086	166000000
chr1	166000001	167000000	333944	0.333944	166500000
chr1	166500001	167500000	297403	0.297403	167000000
chr1	167000001	168000000	210615	0.210615	167500000
chr1	167500001	168500000	159984	0.159984	168000000
chr1	168000001	169000000	177765	0.177765	168500000
chr1	168500001	169500000	265859	0.265859	169000000
chr1	169000001	170000000	395883	0.395883	169500000
chr1	169500001	170500000	382744	0.382744	170000000
chr1	170000001	171000000	312923	0.312923	170500000
chr1	170500001	171500000	362569	0.362569	171000000
chr1	171000001	172000000	309883	0.309883	171500000
chr1	171500001	172500000	206084	0.206084	172000000
chr1	172000001	173000000	228649	0.228649	172500000
chr1	172500001	173500000	259875	0.259875	173000000
chr1	173000001	174000000	215499	0.215499	173500000
chr1	173500001	174500000	178760	0.17876	174000000
chr1	174000001	175000000	202524	0.202524	174500000
chr1	174500001	175500000	244029	0.244029	175000000
chr1	175000001	176000000	288964	0.288964	175500000
chr1	175500001	176500000	228359	0.228359	176000000
chr1	176000001	177000000	459213	0.459213	176500000
chr1	176500001	177500000	877552	0.877552	177000000
chr1	177000001	178000000	999774	0.999774	177500000
chr1	177500001	178500000	999887	0.999887	178000000
chr1	178000001	179000000	999900	0.9999	178500000
chr1	178500001	179500000	999868	0.999868	179000000
chr1	179000001	180000000	999953	0.999953	179500000
chr1	179500001	180500000	999985	0.999985	180000000
chr1	180000001	181000000	1000000	1.0	180500000
chr1	180500001	181500000	1000000	1.0	181000000
chr1	181000001	182000000	999891	0.999891	181500000
chr1	181500001	182500000	999780	0.99978	182000000
chr1	182000001	183000000	999889	0.999889	182500000
chr1	182500001	183500000	999898	0.999898	183000000
chr1	183000001	184000000	999898	0.999898	183500000
chr1	183500001	184500000	1000000	1.0	184000000
chr1	184000001	185000000	999898	0.999898	184500000
chr2	1	1000000	763821	0.763821	500000
chr2	500001	1500000	769054	0.769054	1000000
chr2	1000001	2000000	669178	0.669178	1500000
chr2	1500001	2500000	793833	0.793833	2000000
chr2	2000001	3000000	817651	0.817651	2500000
chr2	2500001	3500000	758200	0.7582	3000000
chr2	3000001	4000000	727447	0.727447	3500000
chr2	3500001	4500000	788572	0.788572	4000000
chr2	4000001	5000000	910857	0.910857	4500000
chr2	4500001	5500000	883980	0.88398	5000000
chr2	5000001	6000000	800980	0.80098	5500000
chr2	5500001	6500000	696610	0.69661	6000000
chr2	6000001	7000000	720807	0.720807	6500000
chr2	6500001	7500000	813049	0.813049	7000000
chr2	7000001	8000000	700650	0.70065	7500000
chr2	7500001	8500000	587425	0.587425	8000000
chr2	8000001	9000000	756650	0.75665	8500000
chr2	8500001	9500000	872240	0.87224	9000000
chr2	9000001	10000000	698458	0.698458	9500000
chr2	9500001	10500000	729243	0.729243	10000000
chr2	10000001	11000000	757111	0.757111	10500000
chr2	10500001	11500000	738695	0.738695	11000000
chr2	11000001	12000000	730799	0.730799	11500000
chr2	11500001	12500000	549301	0.549301	12000000
chr2	12000001	13000000	465703	0.465703	12500000
chr2	12500001	13500000	416320	0.41632	13000000
chr2	13000001	14000000	392125	0.392125	13500000
chr2	13500001	14500000	362906	0.362906	14000000
chr2	14000001	15000000	263187	0.263187	14500000
chr2	14500001	15500000	225691	0.225691	15000000
chr2	15000001	16000000	275730	0.27573	15500000
chr2	15500001	16500000	310346	0.310346	16000000
chr2	16000001	17000000	360370	0.36037	16500000
chr2	16500001	17500000	463790	0.46379	17000000
chr2	17000001	18000000	467089	0.467089	17500000
chr2	17500001	18500000	447694	0.447694	18000000
chr2	18000001	19000000	539060	0.53906	18500000
chr2	18500001	19500000	466018	0.466018	19000000
chr2	19000001	20000000	345006	0.345006	19500000
chr2	19500001	20500000	371546	0.371546	20000000
chr2	20000001	21000000	484550	0.48455	20500000
chr2	20500001	21500000	516218	0.516218	21000000
chr2	21000001	22000000	418879	0.418879	21500000
chr2	21500001	22500000	403063	0.403063	22000000
chr2	22000001	23000000	414213	0.414213	22500000
chr2	22500001	23500000	551724	0.551724	23000000
chr2	23000001	24000000	725365	0.725365	23500000
chr2	23500001	24500000	600613	0.600613	24000000
chr2	24000001	25000000	464349	0.464349	24500000
chr2	24500001	25500000	616468	0.616468	25000000
chr2	25000001	26000000	756270	0.75627	25500000
chr2	25500001	26500000	755832	0.755832	26000000
chr2	26000001	27000000	614064	0.614064	26500000
chr2	26500001	27500000	425797	0.425797	27000000
chr2	27000001	28000000	390337	0.390337	27500000
chr2	27500001	28500000	417979	0.417979	28000000
chr2	28000001	29000000	422636	0.422636	28500000
chr2	28500001	29500000	430887	0.430887	29000000
chr2	29000001	30000000	429432	0.429432	29500000
chr2	29500001	30500000	415428	0.415428	30000000
chr2	30000001	31000000	414448	0.414448	30500000
chr2	30500001	31500000	566605	0.566605	31000000
chr2	31000001	32000000	704273	0.704273	31500000
chr2	31500001	32500000	728097	0.728097	32000000
chr2	32000001	33000000	598841	0.598841	32500000
chr2	32500001	33500000	403193	0.403193	33000000
chr2	33000001	34000000	377878	0.377878	33500000
chr2	33500001	34500000	334480	0.33448	34000000
chr2	34000001	35000000	498286	0.498286	34500000
chr2	34500001	35500000	713681	0.713681	35000000
chr2	35000001	36000000	626494	0.626494	35500000
chr2	35500001	36500000	456721	0.456721	36000000
chr2	36000001	37000000	545746	0.545746	36500000
chr2	36500001	37500000	648138	0.648138	37000000
chr2	37000001	38000000	596271	0.596271	37500000
chr2	37500001	38500000	518688	0.518688	38000000
chr2	38000001	39000000	567885	0.567885	38500000
chr2	38500001	39500000	709009	0.709009	39000000
chr2	39000001	40000000	738058	0.738058	39500000
chr2	39500001	40500000	587833	0.587833	40000000
chr2	40000001	41000000	595730	0.59573	40500000
chr2	40500001	41500000	658175	0.658175	41000000
chr2	41000001	42000000	558118	0.558118	41500000
chr2	41500001	42500000	530294	0.530294	42000000
chr2	42000001	43000000	424711	0.424711	42500000
chr2	42500001	43500000	454097	0.454097	43000000
chr2	43000001	44000000	548047	0.548047	43500000
chr2	43500001	44500000	561368	0.561368	44000000
chr2	44000001	45000000	629666	0.629666	44500000
chr2	44500001	45500000	680847	0.680847	45000000
chr2	45000001	46000000	626588	0.626588	45500000
chr2	45500001	46500000	690659	0.690659	46000000
chr2	46000001	47000000	621180	0.62118	46500000
chr2	46500001	47500000	431546	0.431546	47000000
chr2	47000001	48000000	353792	0.353792	47500000
chr2	47500001	48500000	270600	0.2706	48000000
chr2	48000001	49000000	379101	0.379101	48500000
chr2	48500001	49500000	466413	0.466413	49000000
chr2	49000001	50000000	518391	0.518391	49500000
chr2	49500001	50500000	454619	0.454619	50000000
chr2	50000001	51000000	283148	0.283148	50500000
chr2	50500001	51500000	306177	0.306177	51000000
chr2	51000001	52000000	321996	0.321996	51500000
chr2	51500001	52500000	435006	0.435006	52000000
chr2	52000001	53000000	566941	0.566941	52500000
chr2	52500001	53500000	490888	0.490888	53000000
chr2	53000001	54000000	391954	0.391954	53500000
chr2	53500001	54500000	410412	0.410412	54000000
chr2	54000001	55000000	527623	0.527623	54500000
chr2	54500001	55500000	513465	0.513465	55000000
chr2	55000001	56000000	571438	0.571438	55500000
chr2	55500001	56500000	754882	0.754882	56000000
chr2	56000001	57000000	623079	0.623079	56500000
chr2	56500001	57500000	464222	0.464222	57000000
chr2	57000001	58000000	462078	0.462078	57500000
chr2	57500001	58500000	418839	0.418839	58000000
chr2	58000001	59000000	411409	0.411409	58500000
chr2	58500001	59500000	395599	0.395599	59000000
chr2	59000001	60000000	486989	0.486989	59500000
chr2	59500001	60500000	489183	0.489183	60000000
chr2	60000001	61000000	437925	0.437925	60500000
chr2	60500001	61500000	403692	0.403692	61000000
chr2	61000001	62000000	278575	0.278575	61500000
chr2	61500001	62500000	334918	0.334918	62000000
chr2	62000001	63000000	421037	0.421037	62500000
chr2	62500001	63500000	383070	0.38307	63000000
chr2	63000001	64000000	367824	0.367824	63500000
chr2	63500001	64500000	359170	0.35917	64000000
chr2	64000001	65000000	386026	0.386026	64500000
chr2	64500001	65500000	461006	0.461006	65000000
chr2	65000001	66000000	528430	0.52843	65500000
chr2	65500001	66500000	505433	0.505433	66000000
chr2	66000001	67000000	343962	0.343962	66500000
chr2	66500001	67500000	429481	0.429481	67000000
chr2	67000001	68000000	514458	0.514458	67500000
chr2	67500001	68500000	487523	0.487523	68000000
chr2	68000001	69000000	531664	0.531664	68500000
chr2	68500001	69500000	525997	0.525997	69000000
chr2	69000001	70000000	690836	0.690836	69500000
chr2	69500001	70500000	786236	0.786236	70000000
chr2	70000001	71000000	729712	0.729712	70500000
chr2	70500001	71500000	686670	0.68667	71000000
chr2	71000001	72000000	655724	0.655724	71500000
chr2	71500001	72500000	691537	0.691537	72000000
chr2	72000001	73000000	788792	0.788792	72500000
chr2	72500001	73500000	740447	0.740447	73000000
chr2	73000001	74000000	765997	0.765997	73500000
chr2	73500001	74500000	741705	0.741705	74000000
chr2	74000001	75000000	536542	0.536542	74500000
chr2	74500001	75500000	461117	0.461117	75000000
chr2	75000001	76000000	512823	0.512823	75500000
chr2	75500001	76500000	587165	0.587165	76000000
chr2	76000001	77000000	666926	0.666926	76500000
chr2	76500001	77500000	659905	0.659905	77000000
chr2	77000001	78000000	658965	0.658965	77500000
chr2	77500001	78500000	826637	0.826637	78000000
chr2	78000001	79000000	868308	0.868308	78500000
chr2	78500001	79500000	888366	0.888366	79000000
chr2	79000001	80000000	959382	0.959382	79500000
chr2	79500001	80500000	989396	0.989396	80000000
chr2	80000001	81000000	992006	0.992006	80500000
chr2	80500001	81500000	992106	0.992106	81000000
chr2	81000001	82000000	1000000	1.0	81500000
chr2	81500001	82500000	998339	0.998339	82000000
chr2	82000001	83000000	981642	0.981642	82500000
chr2	82500001	83500000	934971	0.934971	83000000
chr2	83000001	84000000	935827	0.935827	83500000
chr2	83500001	84500000	972220	0.97222	84000000
chr2	84000001	85000000	988033	0.988033	84500000
chr2	84500001	85500000	997288	0.997288	85000000
chr2	85000001	86000000	994243	0.994243	85500000
chr2	85500001	86500000	996927	0.996927	86000000
chr2	86000001	87000000	1000000	1.0	86500000
chr2	86500001	87500000	997191	0.997191	87000000
chr2	87000001	88000000	981676	0.981676	87500000
chr2	87500001	88500000	969439	0.969439	88000000
chr2	88000001	89000000	964488	0.964488	88500000
chr2	88500001	89500000	954665	0.954665	89000000
chr2	89000001	90000000	924129	0.924129	89500000
chr2	89500001	90500000	929042	0.929042	90000000
chr2	90000001	91000000	962390	0.96239	90500000
chr2	90500001	91500000	902364	0.902364	91000000
chr2	91000001	92000000	848061	0.848061	91500000
chr2	91500001	92500000	892304	0.892304	92000000
chr2	92000001	93000000	908116	0.908116	92500000
chr2	92500001	93500000	918899	0.918899	93000000
chr2	93000001	94000000	962090	0.96209	93500000
chr2	93500001	94500000	958942	0.958942	94000000
chr2	94000001	95000000	953542	0.953542	94500000
chr2	94500001	95500000	965325	0.965325	95000000
chr2	95000001	96000000	909950	0.90995	95500000
chr2	95500001	96500000	897168	0.897168	96000000
chr2	96000001	97000000	922287	0.922287	96500000
chr2	96500001	97500000	907622	0.907622	97000000
chr2	97000001	98000000	942221	0.942221	97500000
chr2	97500001	98500000	961814	0.961814	98000000
chr2	98000001	99000000	952001	0.952001	98500000
chr2	98500001	99500000	959151	0.959151	99000000
chr2	99000001	100000000	967748	0.967748	99500000
chr2	99500001	100500000	951191	0.951191	100000000
chr2	100000001	101000000	939316	0.939316	100500000
chr2	100500001	101500000	948658	0.948658	101000000
chr2	101000001	102000000	935436	0.935436	101500000
chr2	101500001	102500000	937379	0.937379	102000000
chr2	102000001	103000000	926810	0.92681	102500000
chr2	102500001	103500000	934033	0.934033	103000000
chr2	103000001	104000000	955982	0.955982	103500000
chr2	103500001	104500000	941828	0.941828	104000000
chr2	104000001	105000000	954860	0.95486	104500000
chr2	104500001	105500000	964946	0.964946	105000000
chr2	105000001	106000000	937024	0.937024	105500000
chr2	105500001	106500000	948614	0.948614	106000000
